,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE 14 ,SE SE SE 15 16 17 ,SE SE SE SE SE 18 19 20 21 22 
Ancud ,42458 ,83 ,195.5 ,25 ,58.9 ,25 ,58.9 ,O O O O 1 ,O ,6 3 1 ,21 19 23 9 O 
Calbuco ,36744 ,8 ,21.8 ,0 ,0.0 ,0 ,0.0 ,0 O O 3 1 ,1 ,1 1 O ,0 1 O 0 O 
Castro ,47607 ,8 ,16.8 ,O ,0.0 ,O ,0.0 ,O O O 2 O ,5 ,O O O ,O 1 O O O 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,O O O O 1 ,O ,0 O O ,O O O O O 
Chonchi ,16013 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 O O ,0 ,0 0 0 ,O 0 O 0 O 
Cochamo ,4006 ,1 ,25.0 ,0 ,0.0 ,O ,0.0 ,O O O O 0 ,O ,1 O O ,O O 0 0 O 
Curaco de Velez ,4066 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O 0 ,O ,O O O ,O O O O O 
Dalcahue& ,15069 ,6 ,39.8 ,5 ,33.2 ,4 ,26.5 ,O O O O O ,0 ,O O O ,O 1 3 2 O 
Fresia ,12656 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O O O ,0 ,O O O ,O 0 O O O 
Frutillar ,20223 ,9 ,44.5 ,2 ,9.9 ,2 ,9.9 ,O O O O 1 ,3 ,2 O O ,O 1 0 2 O 
Futaleufu ,2806 ,1 ,35.6 ,1 ,35.6 ,1 ,35.6 ,0 O O O O ,O ,0 O O ,O O 1 0 O 
Hualaihue ,9525 ,3 ,31.5 ,0 ,0.0 ,0 ,0.0 ,0 O O O 3 ,0 ,0 O O ,O O O 0 O 
Llanquihue ,18621 ,6 ,32.2 ,O ,0.0 ,O ,0.0 ,O O O O 1 ,0 ,0 0 O ,0 5 O O O 
Los Muermos ,17817 ,2 ,11.2 ,O ,0.0 ,O ,0.0 ,O O O 1 O ,0 ,O O O ,O 1 O O O 
Maullin ,14894 ,15 ,100.7 ,14 ,94.0 ,14 ,94.0 ,0 O O O O ,0 ,1 O O ,O O 5 9 O 
Osorno ,173410 ,343 ,197.8 ,11 ,6.3 ,11 ,6.3 ,0 O 3 58 104 ,65 ,36 18 15 ,19 13 9 3 O 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O ,O ,O O O ,O O O O O 
Puerto Montt ,269398 ,110 ,40.8 ,48 ,17.8 ,48 ,17.8 ,O 1 1 13 18 ,11 ,3 5 O ,1 6 16 35 O 
Puerto Octay ,9192 ,5 ,54.4 ,0 ,0.0 ,0 ,0.0 ,0 O O 1 O ,0 ,0 1 1 ,O 2 O 0 O 
Puerto Varas ,48620 ,15 ,30.9 ,6 ,12.3 ,6 ,12.3 ,O O 1 0 2 ,3 ,2 O O ,0 0 3 4 O 
Puqueldon ,4201 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O ,0 ,0 O O ,O 0 O 0 O 
Purranque ,21080 ,35 ,166.0 ,7 ,33.2 ,7 ,33.2 ,0 O O O 3 ,12 ,5 1 2 ,3 1 5 3 O 
