,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE SE SE 15 16 17 ,SE SE SE SE SE 18 19 20 21 22 
Antartica ,137 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O ,O O ,0 ,0 0 O ,O 0 O O O 
Cabo de Hornos ,1983 ,22 ,1109.4 ,1 ,50.4 ,1 ,50.4 ,O O 2 ,7 7 ,1 ,2 O 0 ,O 2 O 1 O 
Laguna Blanca ,264 ,1 ,378.8 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,0 ,0 O 0 ,O 1 O 0 O 
Natales ,23782 ,12 ,50.5 ,2 ,8.4 ,2 ,8.4 ,O O 1 ,3 2 ,0 ,2 O O ,2 O 2 O O 
Porvenir ,7323 ,9 ,122.9 ,O ,0.0 ,O ,0.0 ,O O 0 ,O 3 ,1 ,2 2 O ,O 1 O 0 O 
Primavera ,694 ,1 ,144.1 ,0 ,0.0 ,O ,0.0 ,O O 0 ,O O ,0 ,1 O 0 ,O O O O O 
Punta Arenas& ,141984 ,968 ,681.8 ,65 ,45.8 ,65 ,45.8 ,2 1 6 ,62 121 ,148 ,154 132 84 ,107 81 47 23 O 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O ,O O ,O ,O O O ,O O O O O 
San Gregorio ,681 ,3 ,440.5 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O O ,O 3 O O O 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O 0 ,O O O O O 
Torres del Paine ,1021 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O ,0 O ,0 ,0 0 O ,0 O 0 0 O 
Total ,178362 ,1016 ,569.6 ,68 ,38.1 ,68 ,38.1 ,2 1 9 ,72 133 ,150 ,161 134 84 ,109 88 49 24 0 
