LoEspejo&,103865,1061,1021.5,173,166.6,167,160.8,001,47,25,27,22,56,150,317,341,10011
Lo Prado& ,104403 ,900 ,862.0 ,145 ,138.9 ,140 ,134.1 ,O 1 2 ,5 19 ,13 ,21 ,30 ,98 ,148 ,266 ,191 ,91 15 
Macul& ,134635 ,1412 ,1048.8 ,339 ,251.8 ,337 ,250.3 ,O 1 3 ,15 21 ,17 ,13 ,20 ,78 ,169 ,394 ,458 ,209 14 
Maipu& ,578605 ,3193 ,551.8 ,875 ,151.2 ,873 ,150.9 ,0 0 13 ,48 68 ,75 ,76 ,111 ,130 ,325 ,757 ,985 ,578 27 
Maria Pinto& ,14926 ,28 ,187.6 ,7 ,46.9 ,7 ,46.9 ,O 0 0 ,0 0 ,0 ,1 ,0 ,2 ,1 ,10 ,9 ,3 2 
Melipilla& ,141612 ,533 ,376.4 ,206 ,145.5 ,206 ,145.5 ,O 1 1 ,4 5 ,5 ,8 ,21 ,32 ,67 ,86 ,127 ,140 36 
Nunoa& ,250192 ,1662 ,664.3 ,531 ,212.2 ,528 ,211.0 ,1 1 27 ,53 37 ,46 ,45 ,65 ,64 ,138 ,335 ,462 ,357 31 
Padre Hurtado& ,74188 ,300 ,404.4 ,72 ,97.1 ,69 ,93.0 ,0 1 0 ,5 9 ,5 ,11 ,7 ,15 ,44 ,77 ,73 ,50 3 
Paine& ,82766 ,249 ,300.8 ,78 ,94.2 ,78 ,94.2 ,0 1 1 ,3 0 ,4 ,4 ,3 ,5 ,24 ,76 ,71 ,56 1 
Pedro Aguirre Cerda& ,107803 ,1149 ,1065.8 ,205 ,190.2 ,200 ,185.5 ,0 0 4 ,5 15 ,23 ,45 ,32 ,72 ,161 ,326 ,326 ,131 9 
Penaflor8 ,101058 ,363 ,359.2 ,85 ,84.1 ,83 ,82.1 ,1 1 5 ,3 9 ,5 ,9 ,14 ,26 ,41 ,88 ,96 ,59 6 
Penalolen& ,266798 ,3505 ,1313.7 ,1125 ,421.7 ,1119 ,419.4 ,0 3 9 ,26 34 ,37 ,50 ,66 ,117 ,366 ,866 ,1158 ,734 39 
Pirque& ,30433 ,231 ,759.0 ,85 ,279.3 ,85 ,279.3 ,0 0 3 ,1 4 ,1 ,5 ,3 ,15 ,32 ,41 ,53 ,72 1 
Providencia8 ,157749 ,1071 ,678.9 ,360 ,228.2 ,360 ,228.2 ,0 3 29 ,61 20 ,22 ,30 ,33 ,34 ,88 ,219 ,269 ,218 45 
Pudahuel& ,253139 ,1728 ,682.6 ,356 ,140.6 ,353 ,139.4 ,1 1 2 ,19 23 ,31 ,35 ,41 ,125 ,272 ,511 ,412 ,236 19 
Puente Alto& ,645909 ,5770 ,893.3 ,1468 ,227.3 ,1461 ,226.2 ,1 2 8 ,57 96 ,159 ,181 ,249 ,267 ,727 ,1326 ,1733 ,921 43 
Quilicura& ,254694 ,2644 ,1038.1 ,579 ,227.3 ,578 ,226.9 ,0 6 4 ,20 25 ,41 ,41 ,128 ,272 ,463 ,569 ,683 ,367 25 
Quinta Normal& ,136368 ,1255 ,920.3 ,193 ,141.5 ,188 ,137.9 ,0 2 5 ,13 25 ,36 ,49 ,49 ,97 ,224 ,354 ,267 ,123 11 
Recoleta8 ,190075 ,3287 ,1729.3 ,511 ,268.8 ,507 ,266.7 ,0 0 5 ,15 19 ,32 ,45 ,105 ,271 ,673 ,1005 ,770 ,302 45 
Renca8 ,160847 ,1374 ,854.2 ,242 ,150.5 ,240 ,149.2 ,O O 4 ,7 12 ,7 ,33 ,61 ,100 ,231 ,471 ,269 ,166 13 
San Bernardo& ,334836 ,2539 ,758.3 ,656 ,195.9 ,649 ,193.8 ,1 2 6 ,20 36 ,65 ,72 ,119 ,148 ,302 ,606 ,707 ,425 30 
San Joaquin& ,103485 ,1603 ,1549.0 ,290 ,280.2 ,284 ,274.4 ,O 1 1 ,14 22 ,14 ,37 ,40 ,77 ,210 ,475 ,513 ,185 14 
San Jose de Maipo& ,18644 ,186 ,997.6 ,84 ,450.5 ,81 ,434.5 ,0 0 1 ,1 1 ,2 ,2 ,1 ,4 ,21 ,38 ,52 ,63 0 
San Miguel& ,133059 ,1444 ,1085.2 ,339 ,254.8 ,335 ,251.8 ,O 0 3 ,25 21 ,25 ,44 ,47 ,72 ,177 ,385 ,410 ,218 17 
San Pedro& ,11953 ,33 ,276.1 ,1 ,8.4 ,1 ,8.4 ,0 0 0 ,0 0 ,0 ,0 ,2 ,10 ,7 ,8 ,5 ,0 1 
San Ramon& ,86510 ,1543 ,1783.6 ,351 ,405.7 ,351 ,405.7 ,O 0 1 ,5 11 ,10 ,11 ,40 ,87 ,234 ,432 ,479 ,231 2 
Santiago& ,503147 ,5617 ,1116.4 ,1235 ,245.5 ,1230 ,244.5 ,1 2 28 ,95 95 ,135 ,155 ,168 ,350 ,869 ,1507 ,1349 ,808 55 
Talagante ,81838 ,224 ,273.7 ,59 ,72.1 ,59 ,72.1 ,0 0 0 ,4 7 ,7 ,4 ,10 ,8 ,34 ,47 ,58 ,41 4 
Tiltil& ,21477 ,112 ,521.5 ,41 ,190.9 ,41 ,190.9 ,0 0 0 ,2 1 ,2 ,1 ,1 ,3 ,7 ,29 ,35 ,28 3 
Vitacura& ,96774 ,646 ,667.5 ,182 ,188.1 ,181 ,187.0 ,O 7 31 ,46 29 ,13 ,5 ,5 ,13 ,53 ,141 ,181 ,107 15 
