Paredones,6349,2,31.5,0,0.0,0,0.0,0OO00,00,OOOO,20,0
Peralillo ,11848 ,2 ,16.9 ,O ,0.0 ,0 ,0.0 ,0 O 0 0 0 ,0 0 ,O O O 0 ,2 0 ,O 
Peumo ,14952 ,7 ,46.8 ,O ,0.0 ,O ,0.0 ,O O O O 1 ,O O ,O O 2 2 ,2 O ,O 
Pichidegua ,20743 ,9 ,43.4 ,2 ,9.6 ,2 ,9.6 ,O O O O O ,O O ,O O 1 2 ,5 1 ,O 
Pichilemu ,17882 ,8 ,44.7 ,2 ,11.2 ,2 ,11.2 ,0 0 O O O ,O O ,O O 2 1 ,3 2 ,0 
Placilla ,9164 ,6 ,65.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 1 ,0 O ,0 O O 1 ,4 0 ,O 
Pumanque ,3531 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O ,O O ,O O O O ,O O ,O 
Quinta de Tilcoco ,13877 ,2 ,14.4 ,O ,0.0 ,0 ,0.0 ,O O O 1 O ,O O ,O O O O ,1 O ,O 
Rancagua ,265211 ,326 ,122.9 ,101 ,38.1 ,101 ,38.1 ,1 0 O 8 4 ,6 3 ,7 10 24 73 ,132 53 ,5 
Rengo ,63710 ,35 ,54.9 ,8 ,12.6 ,8 ,12.6 ,O O O 1 1 ,O O ,4 5 2 5 ,10 7 ,O 
Requinoa ,30371 ,19 ,62.6 ,7 ,23.0 ,7 ,23.0 ,O O O 2 O ,O O ,O 2 O 4 ,5 4 ,2 
San Fernando ,78642 ,25 ,31.8 ,7 ,8.9 ,7 ,8.9 ,O O O 2 1 ,1 O ,O O 2 6 ,7 5 ,1 
San Vicente ,50617 ,43 ,85.0 ,1 ,2.0 ,O ,0.0 ,O O O O 3 ,1 O ,O 3 3 14 ,18 1 ,O 
Santa Cruz ,41096 ,13 ,31.6 ,2 ,4.9 ,2 ,4.9 ,0 O O O 1 ,O O ,1 1 0 4 ,4 2 ,O 
Total ,991063 ,773 ,78.0 ,184 ,18.6 ,183 ,18.5 ,1 0 1 20 15 ,10 10 ,17 43 59 189 ,293 105 ,10 
