,,,,,,,000,1,33,3,802,1,26,4
4179 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O O ,0 ,O 0 ,O ,0 0 0 ,0 ,O 0 ,O 
,,,,,,,O O O ,0 ,O 0 ,O ,O O O ,O ,O 1 ,O 
145906 ,183 ,125.4 ,63 ,43.2 ,63 ,43.2 ,O O 6 ,34 ,17 24 ,8 ,11 3 2 ,13 ,10 34 ,21 
,,,,,,,0 O 0 ,0 ,0 O ,0 ,O 0 O ,1 ,1 O ,0 
,,,,,,,0 0 0 ,O ,2 0 ,O ,0 0 0 ,4 ,9 6 ,5 
14779 ,2 ,13.5 ,O ,0.0 ,O ,0.0 ,O O O ,0 ,O 1 ,O ,0 1 O ,O ,O O ,O 
,,,,,,,O O 1 ,16 ,16 17 ,14 ,14 20 17 ,19 ,18 32 ,5 
,,,,,,,0 O O ,1 ,2 1 ,0 ,O 0 0 ,O ,O O ,O 
,,,,,,,O O O ,9 ,11 12 ,7 ,9 1 4 ,16 ,4 6 ,O 
,,,,,,,O O 0 ,O ,O 1 ,O ,0 O 0 ,O ,3 4 ,O 
22132 ,24 ,108.4 ,8 ,36.1 ,8 ,36.1 ,0 O O ,0 ,5 O ,1 ,1 1 2 ,4 ,2 4 ,4 
1663696 ,1783 ,107.2 ,596 ,35.8 ,595 ,35.8 ,1 2 29 ,140 ,157 149 ,99 ,99 65 81 ,206 ,230 390 ,135 
