,,,,,,Numero,deCasos,segunFechade,Iniciode,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE SE 15 16 ,SE SE 17 18 ,SE 19 ,SE 20 ,SE SE 21 22 
Angol ,56058 ,149 ,265.8 ,21 ,37.5 ,21 ,37.5 ,O 1 1 ,3 10 ,11 ,15 35 ,27 11 ,10 ,5 ,17 3 
Carahue ,25486 ,50 ,196.2 ,13 ,51.0 ,13 ,51.0 ,O 0 O ,O 3 ,10 ,9 8 ,5 1 ,O ,1 ,10 3 
Cholchol ,12341 ,6 ,48.6 ,1 ,8.1 ,1 ,8.1 ,0 0 0 ,1 2 ,O ,0 1 ,O O ,1 ,O ,1 O 
Collipulli ,26148 ,26 ,99.4 ,13 ,49.7 ,13 ,49.7 ,O 0 O ,O 0 ,1 ,1 1 ,3 O ,2 ,8 ,8 2 
Cunco ,18055 ,29 ,160.6 ,20 ,110.8 ,20 ,110.8 ,O O O ,O 3 ,2 ,O 1 ,O O ,1 ,5 ,17 O 
Curacautin ,18178 ,7 ,38.5 ,O ,0.0 ,O ,0.0 ,O 0 O ,2 0 ,2 ,O O ,2 O ,1 ,0 ,O O 
Curarrehue ,7802 ,4 ,51.3 ,0 ,0.0 ,0 ,0.0 ,0 0 1 ,1 2 ,O ,0 0 ,0 0 ,O ,0 ,0 0 
Ercilla ,8458 ,11 ,130.1 ,O ,0.0 ,O ,0.0 ,O O O ,0 O ,4 ,1 4 ,1 1 ,O ,O ,O O 
Freire ,25446 ,57 ,224.0 ,30 ,117.9 ,30 ,117.9 ,O O O ,2 4 ,O ,0 2 ,0 O ,11 ,11 ,26 1 
Galvarino ,12633 ,8 ,63.3 ,5 ,39.6 ,5 ,39.6 ,0 0 0 ,0 1 ,1 ,O 0 ,0 1 ,O ,0 ,3 2 
Gorbea8 ,15148 ,19 ,125.4 ,4 ,26.4 ,4 ,26.4 ,0 0 1 ,4 4 ,1 ,0 1 ,0 1 ,3 ,0 ,4 0 
Lautaro ,40746 ,66 ,162.0 ,9 ,22.1 ,9 ,22.1 ,1 O O ,6 3 ,15 ,5 6 ,2 8 ,9 ,3 ,6 2 
Loncoche ,24739 ,35 ,141.5 ,14 ,56.6 ,14 ,56.6 ,O O O ,2 3 ,2 ,4 3 ,3 1 ,2 ,1 ,3 11 
Lonquimay ,11049 ,61 ,552.1 ,22 ,199.1 ,22 ,199.1 ,O 0 O ,O 0 ,0 ,0 0 ,2 13 ,12 ,25 ,8 1 
Los Sauces ,7517 ,2 ,26.6 ,1 ,13.3 ,1 ,13.3 ,0 0 0 ,0 0 ,O ,O 1 ,O 0 ,O ,0 ,0 1 
Lumaco ,10050 ,8 ,79.6 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 ,0 4 ,2 1 ,O ,1 ,O O 
Melipeuco ,6265 ,5 ,79.8 ,5 ,79.8 ,5 ,79.8 ,0 0 O ,O 0 ,0 ,O 0 ,0 O ,O ,O ,5 O 
Nueva Imperia ,33777 ,54 ,159.9 ,3 ,8.9 ,3 ,8.9 ,O 0 O ,4 9 ,4 ,12 7 ,3 2 ,6 ,5 ,1 1 
Padre Las Casas& ,82110 ,143 ,174.2 ,16 ,19.5 ,16 ,19.5 ,O 0 O ,12 28 ,24 ,16 15 ,11 0 ,5 ,21 ,10 1 
