,,,,,,NumerodeCasos,segunFechade,Iniciode,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE SE SE 15 16 17 18 ,SE SE SE SE 19 20 21 22 
Corral ,5447 ,13 ,238.7 ,2 ,36.7 ,2 ,36.7 ,0 0 O ,0 0 0 ,0 1 0 0 ,6 4 2 0 
Futrono ,15261 ,30 ,196.6 ,21 ,137.6 ,21 ,137.6 ,0 O 0 ,1 3 1 ,0 0 0 0 ,1 5 18 1 
La Union ,39538 ,43 ,108.8 ,1 ,2.5 ,1 ,2.5 ,O O 1 ,5 8 4 ,6 9 4 2 ,1 2 O 1 
Lago Ranco ,10292 ,2 ,19.4 ,O ,0.0 ,O ,0.0 ,O O O ,1 1 O ,O O 0 O ,O O O O 
Lanco ,17652 ,9 ,51.0 ,O ,0.0 ,O ,0.0 ,O O O ,O 1 2 ,1 2 0 3 ,O O O O 
Los Lagos ,20518 ,18 ,87.7 ,18 ,87.7 ,18 ,87.7 ,O O O ,O O O ,O O 0 O ,0 1 12 5 
Mafil ,7389 ,3 ,40.6 ,O ,0.0 ,O ,0.0 ,O O O ,1 O O ,O 1 O O ,O 1 O O 
Mariquina ,23250 ,15 ,64.5 ,3 ,12.9 ,3 ,12.9 ,O O O ,3 1 4 ,1 O O O ,2 1 3 O 
Paillaco ,20798 ,22 ,105.8 ,20 ,96.2 ,20 ,96.2 ,O O O ,1 O O ,O O 0 O ,O 8 13 O 
Panguipulli ,35991 ,8 ,22.2 ,6 ,16.7 ,6 ,16.7 ,O O O ,O O O ,O O 0 1 ,O 3 4 O 
Rio Bueno ,32925 ,14 ,42.5 ,2 ,6.1 ,2 ,6.1 ,O O O ,3 1 2 ,2 1 2 1 ,O 0 2 0 
Valdivia ,176774 ,160 ,90.5 ,34 ,19.2 ,34 ,19.2 ,O 1 1 ,25 32 25 ,18 8 8 4 ,2 7 27 2 
Total ,405835 ,337 ,83.0 ,107 ,26.4 ,107 ,26.4 ,0 1 2 ,40 47 38 ,28 22 14 11 ,12 32 81 9 
