Palmilla,13299,4,30.1,1,7.5,1,7.5,000O,000,000,O2,20,O
Paredones ,6349 ,2 ,31.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 O 0 ,O 0 O ,O 2 ,O 0 ,O 
Peralillo ,11848 ,6 ,50.6 ,2 ,16.9 ,2 ,16.9 ,O O O O ,O O O ,O O O ,O 2 ,3 1 ,O 
Peumo ,14952 ,7 ,46.8 ,0 ,0.0 ,0 ,0.0 ,O 0 0 O ,1 O O ,O O 2 ,2 2 ,O O ,O 
Pichidegua ,20743 ,12 ,57.9 ,0 ,0.0 ,0 ,0.0 ,0 O O O ,O O O ,O O 1 ,2 8 ,1 O ,0 
Pichilemu ,17882 ,11 ,61.5 ,3 ,16.8 ,3 ,16.8 ,O 0 0 0 ,0 0 O ,O 0 2 ,1 3 ,3 2 ,O 
Placilla ,9164 ,8 ,87.3 ,2 ,21.8 ,2 ,21.8 ,O O O O ,1 O O ,O O 0 ,1 4 ,O 2 ,O 
Pumanque ,3531 ,1 ,28.3 ,1 ,28.3 ,1 ,28.3 ,O O O O ,O O O ,O O 0 ,O 0 ,O 1 ,O 
Quinta de Tilcoco ,13877 ,4 ,28.8 ,2 ,14.4 ,2 ,14.4 ,O O O 1 ,0 0 O ,0 O 0 ,O 1 ,1 1 ,O 
Rancagua& ,265211 ,442 ,166.7 ,87 ,32.8 ,87 ,32.8 ,1 O O 8 ,4 6 3 ,7 10 25 ,74 140 ,99 60 ,5 
Rengo ,63710 ,47 ,73.8 ,5 ,7.8 ,5 ,7.8 ,O O O 1 ,1 O O ,4 5 2 ,5 15 ,10 4 ,O 
Requinoa ,30371 ,31 ,102.1 ,14 ,46.1 ,14 ,46.1 ,O O O 2 ,O O O ,O 2 0 ,4 5 ,8 9 ,1 
San Fernando ,78642 ,46 ,58.5 ,21 ,26.7 ,21 ,26.7 ,O O O 2 ,1 1 O ,O O 2 ,7 8 ,9 13 ,3 
San Vicente& ,50617 ,51 ,100.8 ,1 ,2.0 ,1 ,2.0 ,O O O O ,3 1 O ,O 3 3 ,15 22 ,3 O ,1 
Santa Cruz ,41096 ,19 ,46.2 ,6 ,14.6 ,6 ,14.6 ,O 0 0 0 ,1 0 0 ,1 1 0 ,4 4 ,3 4 ,1 
Total ,991063 ,1047 ,105.6 ,209 ,21.1 ,208 ,21.0 ,1 0 1 20 ,15 10 10 ,17 43 61 ,194 325 ,193 139 ,18 
