Negrete,10429,39,374.0,10,95.9,10,,95.9,0OO0,0,20,O,007,12,10,8O
Penco ,49865 ,45 ,90.2 ,17 ,34.1 ,17 ,,34.1 ,O O O 1 ,3 ,3 3 ,8 ,0 2 1 ,2 ,8 ,10 4 
Quilaco ,4179 ,1 ,23.9 ,1 ,23.9 ,1 ,,23.9 ,O O O O ,O ,O O ,O ,O O O ,O ,O ,1 O 
Quilleco ,10032 ,3 ,29.9 ,2 ,19.9 ,2 ,,19.9 ,O O O O ,0 ,O O ,O ,O O O ,O ,1 ,2 O 
San Pedro de la Paz ,145906 ,216 ,148.0 ,58 ,39.8 ,58 ,,39.8 ,0 O 6 34 ,17 ,24 8 ,11 ,3 2 13 ,11 ,36 ,48 3 
San Rosendo ,3611 ,3 ,83.1 ,1 ,27.7 ,1 ,,27.7 ,0 0 O 0 ,0 ,O O ,O ,0 O 1 ,1 ,O ,1 O 
Santa Barbara ,14592 ,40 ,274.1 ,18 ,123.4 ,18 ,,123.4 ,O O 0 O ,2 ,O O ,O ,O 0 4 ,9 ,7 ,18 O 
Santa Juana ,14779 ,4 ,27.1 ,2 ,13.5 ,2 ,,13.5 ,O 0 O 0 ,O ,1 O ,O ,1 O O ,O ,O ,2 O 
Talcahuano ,158345 ,244 ,154.1 ,67 ,42.3 ,67 ,,42.3 ,O O 1 16 ,16 ,17 14 ,14 ,20 17 19 ,18 ,38 ,49 5 
Tirua ,11019 ,4 ,36.3 ,O ,0.0 ,O ,,0.0 ,O O 0 1 ,2 ,1 O ,O ,O O O ,O ,O ,O O 
Tome ,58729 ,96 ,163.5 ,17 ,28.9 ,17 ,,28.9 ,O O 0 9 ,11 ,12 7 ,9 ,1 4 17 ,4 ,8 ,11 3 
Tucapel ,15205 ,24 ,157.8 ,17 ,111.8 ,17 ,,111.8 ,O O O O ,O ,1 O ,O ,O 0 O ,4 ,6 ,10 3 
Yumbel& ,22132 ,32 ,144.6 ,13 ,58.7 ,13 ,,58.7 ,O O O 0 ,5 ,O 1 ,1 ,1 2 4 ,3 ,4 ,11 O 
,,,,,,,,,,,,,,,,
