PadreLasCasas,82110,163,198.5,21,25.6,21,25.6,000,122824,1615,11,O5,24,1611,1
Perquenco& ,7223 ,11 ,152.3 ,5 ,69.2 ,5 ,69.2 ,0 0 O ,1 1 O ,O 3 ,0 ,O 1 ,0 ,O 1 ,4 
Pitrufquen ,26096 ,58 ,222.3 ,28 ,107.3 ,28 ,107.3 ,O 0 O ,4 9 4 ,O 1 ,O ,O O ,6 ,15 17 ,2 
Pucon ,29782 ,50 ,167.9 ,22 ,73.9 ,22 ,73.9 ,O O 1 ,3 O 4 ,3 1 ,3 ,O 2 ,2 ,12 16 ,3 
Puren ,12188 ,9 ,73.8 ,2 ,16.4 ,2 ,16.4 ,0 0 0 ,O 2 O ,O 2 ,0 ,2 1 ,0 ,1 1 ,0 
Renaico ,10833 ,25 ,230.8 ,3 ,27.7 ,3 ,27.7 ,O 0 0 ,O 0 1 ,3 2 ,1 ,4 3 ,5 ,4 2 ,O 
Saavedra ,12793 ,87 ,680.1 ,5 ,39.1 ,5 ,39.1 ,O O 1 ,1 O 1 ,5 8 ,17 ,13 18 ,10 ,9 4 ,O 
Temuco ,302931 ,838 ,276.6 ,23 ,7.6 ,23 ,7.6 ,O 4 26 ,155 173 128 ,110 57 ,25 ,27 49 ,44 ,27 13 ,O 
Teodoro Schmidt ,15786 ,10 ,63.3 ,4 ,25.3 ,4 ,25.3 ,0 0 O ,1 2 O ,1 1 ,0 ,O 0 ,1 ,3 1 ,O 
Tolten ,10055 ,16 ,159.1 ,3 ,29.8 ,3 ,29.8 ,O 0 O ,4 2 2 ,O 0 ,0 ,O 0 ,2 ,5 1 ,O 
Traiguen ,19314 ,15 ,77.7 ,4 ,20.7 ,4 ,20.7 ,O O O ,0 O 1 ,O 1 ,0 ,0 1 ,4 ,4 2 ,2 
Victoria& ,35467 ,113 ,318.6 ,19 ,53.6 ,19 ,53.6 ,O O 1 ,2 9 2 ,2 30 ,20 ,11 2 ,4 ,14 9 ,7 
Vilcun ,30766 ,92 ,299.0 ,11 ,35.8 ,11 ,35.8 ,O 0 O ,6 11 15 ,8 3 ,5 ,4 5 ,7 ,21 7 ,O 
Villarrica ,59103 ,33 ,55.8 ,6 ,10.2 ,6 ,10.2 ,O O O ,2 10 6 ,1 O ,1 ,O 1 ,2 ,4 6 ,O 
Total ,1014343 ,2279 ,,349 ,,349 ,,1 5 32 ,216 292 241 ,196 198 ,133 ,101 146 ,181 ,278 219 ,40 
