,,NumerodeCasossegunFechadeIniciodeSintomas
SEREMI de Notificacion ,Residencia Desconocida ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 
SEREMI De Arica y Parinacota ,O ,O 0 O 0 O O O O O O O O O O 
SEREMI De Tarapaca ,0 ,0 O 0 0 O O O 0 O 0 0 0 0 O 
SEREMI De Antofagasta ,0 ,0 O O 0 0 O 0 0 O 0 0 0 0 0 
SEREMI De Atacama ,0 ,0 O O 0 O O 0 O O 0 O O 0 O 
SEREMI De Coquimbo ,0 ,0 0 0 0 0 O 0 0 O 0 0 0 0 0 
SEREMI De Valparaiso ,1 ,0 0 O 0 1 O 0 0 O 0 0 0 0 0 
SEREMI Metropolitana de Santiago ,13 ,O 0 1 0 0 O 0 1 1 2 2 1 2 2 
SEREMI Del Libertador Gral B OHiggins ,0 ,0 0 O 0 0 O O 0 O O 0 O 0 O 
SEREMI Del Maule ,0 ,O 0 O O O O O O O O 0 O 0 O 
SEREMI Del Nuble ,0 ,O 0 O 0 O O O O O O O O O O 
SEREMI Del Biobio ,0 ,O 0 O 0 0 O O 0 O O O O 0 O 
SEREMI De La Araucania ,O ,O O O O O O O O O O O O 0 O 
SEREMI De Los Rios ,0 ,O 0 O 0 O O O 0 O O O O O O 
SEREMI De Los Lagos ,21 ,O 0 9 10 1 1 0 0 O O O O 0 O 
SEREM De Aisen del General Carlos lbanez de Campo ,1 ,O 0 1 O O O O 0 O O O O O O 
SEREMI De Magallanes y la Antartica Chilena ,0 ,O O O 0 O 0 O O O 0 0 0 O O 
Total pais ,36 ,0 0 11 10 2 1 0 1 1 2 2 1 2 2 
