,SESESESESE,SESESESE,SESE,SE,SE,SESE,SE,SESE,SE,SESE,SE,SE,SESE,SE,SESE
Comuna ,9 10 11 12 13 ,14 15 16 17 ,18 19 ,20 ,21 ,22 23 ,24 ,25 26 ,27 ,28 29 ,30 ,31 ,32 33 ,34 ,35 36 
Alto Hospicio ,& O O 0 3 5 ,6 14 25 38 ,113 141 ,270 ,319 ,318 261 ,207 ,161 175 ,115 ,107 113 ,136 ,179 ,161 202 ,115 ,30 O 
Camina ,O O 0 0 O ,O O O O ,O O ,O ,3 ,10 4 ,2 ,4 7 ,3 ,6 2 ,2 ,1 ,4 10 ,1 ,0 O 
Colchane ,O 0 O 0 0 ,O O O 0 ,0 0 ,0 ,2 ,1 10 ,17 ,15 16 ,12 ,6 3 ,10 ,2 ,1 1 ,1 ,1 0 
Huara ,O 0 O 0 O ,O O O 2 ,8 2 ,10 ,7 ,8 10 ,6 ,9 12 ,16 ,21 15 ,8 ,3 ,6 7 ,4 ,5 O 
Iquique ,& O O O 9 7 ,15 12 22 42 ,104 258 ,403 ,505 ,466 444 ,464 ,424 351 ,340 ,286 278 ,361 ,322 ,310 263 ,204 ,32 O 
Pica ,O O O O 1 ,7 14 11 O ,1 5 ,1 ,7 ,8 10 ,10 ,10 14 ,42 ,38 24 ,24 ,31 ,33 44 ,24 ,7 0 
Pozo Almonte ,& O O O O 1 ,2 O O O ,3 5 ,17 ,39 ,58 92 ,106 ,64 36 ,75 ,56 47 ,43 ,128 ,61 41 ,39 ,6 0 
Desconocido ,& O O 0 0 O ,O 1 O 1 ,5 95 ,29 ,25 ,25 31 ,25 ,20 22 ,15 ,20 33 ,35 ,14 ,17 13 ,11 ,6 0 
Total ,0 0 0 12 14 ,30 41 58 83 ,234 506 ,730 ,907 ,894 862 ,837 ,707 633 ,618 ,540 515 ,619 ,680 ,593 581 ,399 ,87 0 
