,,,,Casos,Acumulados,,,,Tasa,Tasa,
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados' ,Probables ,Confirmados correspondientes a BAC ,% Confirmados correspondientes a BAC ,Total ,Casos Fallecidos' ,incidencia acumulada ,mortalidad acumulada ,Tasa Letalidad 
Region de Arica y Parinacota ,252110 ,6458 ,24 ,324 ,296 ,4.3% ,6806 ,149 ,2699.6 ,59.1 ,2.2% 
Region de Tarapaca ,382773 ,10093 ,446 ,791 ,906 ,8.0% ,11330 ,241 ,2960.0 ,63.0 ,2.1% 
Region de Antofagasta ,691854 ,17585 ,272 ,909 ,1158 ,6.2% ,18766 ,585 ,2712.4 ,84.6 ,3.1% 
Region de Atacama ,314709 ,5445 ,35 ,72 ,1032 ,18.6% ,5552 ,95 ,1764.2 ,30.2 ,1.7% 
Region de Coquimbo ,836096 ,9540 ,140 ,1152 ,678 ,6.3% ,10832 ,204 ,1295.5 ,24.4 ,1.9% 
Region de Valparaiso ,1960170 ,21831 ,412 ,8185 ,1131 ,3.7% ,30428 ,1117 ,1552.3 ,57.0 ,3.7% 
Region Metropolitana de Santiago ,8125072 ,256401 ,15638 ,31076 ,7125 ,2.4% ,303115 ,11094 ,3730.6 ,136.5 ,3.7% 
Region del Libertador General Bernardo OHiggins ,991063 ,13094 ,42 ,2627 ,821 ,5.2% ,15763 ,523 ,1590.5 ,52.8 ,3.3% 
Region del Maule ,1131939 ,11435 ,7 ,707 ,458 ,3.8% ,12149 ,425 ,1073.3 ,37.5 ,3.5% 
Region del Nuble ,511551 ,4543 ,13 ,1091 ,251 ,4.4% ,5647 ,128 ,1103.9 ,25.0 ,2.3% 
Region del Biobio ,1663696 ,16431 ,201 ,2205 ,732 ,3.9% ,18837 ,376 ,1132.2 ,22.6 ,2.0% 
Region de la Araucania ,1014343 ,5045 ,1 ,42 ,343 ,6.7% ,5088 ,222 ,501.6 ,21.9 ,4.4% 
Region de Los Rios ,405835 ,1078 ,7 ,10 ,45 ,4.1% ,1095 ,37 ,269.8 ,9.1 ,3.4% 
Region de Los Lagos ,891440 ,6330 ,49 ,377 ,861 ,12.7% ,6756 ,142 ,757.9 ,15.9 ,2.1% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,114 ,O ,0 ,6 ,5.3% ,114 ,5 ,106.2 ,4.7 ,4.4% 
Region de Magallanes y la Antartica Chilena ,178362 ,3198 ,9 ,54 ,300 ,9.2% ,3261 ,73 ,1828.3 ,40.9 ,2.2% 
Desconocida *k ,- ,- ,55 ,- ,- ,- ,55 ,2 ,- ,-- ,3.6% 
Total pais ,19458310 ,388621 ,17351 ,49622 ,16143 ,3.5% ,455594 ,15418 ,2341.4 ,79.2 ,3.4% 
