Comuna,SESESESE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE,SE,SESE,SE,SESE
,9 10 11 12 ,13 ,14 15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 30 ,31 ,32 33 ,34 ,35 36 
Alhue ,O 0 0 O ,0 ,1 O ,0 ,O ,0 ,5 ,1 ,4 ,9 ,15 ,25 ,13 ,18 ,32 ,28 ,19 21 ,16 ,33 18 ,29 ,4 O 
Buin ,& O O 0 5 ,16 ,10 13 ,18 ,22 ,62 ,138 ,188 ,231 ,216 ,282 ,268 ,208 ,169 ,168 ,120 ,103 69 ,77 ,110 54 ,63 ,10 O 
Calera de Tango ,& 0 O O 4 ,4 ,1 1 ,5 ,1 ,7 ,19 ,32 ,37 ,70 ,74 ,76 ,55 ,78 ,40 ,31 ,18 13 ,10 ,11 11 ,6 ,12 O 
Cerrillos ,& 1 2 1 4 ,11 ,13 21 ,22 ,66 ,229 ,206 ,278 ,318 ,280 ,347 ,344 ,240 ,182 ,158 ,88 ,93 95 ,68 ,43 36 ,28 ,3 O 
Cerro Navia ,& O 2 10 16 ,17 ,14 36 ,50 ,109 ,272 ,581 ,706 ,746 ,784 ,769 ,655 ,560 ,330 ,274 ,202 ,144 110 ,181 ,117 116 ,80 ,16 O 
Colina ,& 1 3 7 28 ,16 ,25 17 ,25 ,36 ,135 ,372 ,546 ,612 ,616 ,606 ,422 ,342 ,252 ,177 ,148 ,75 56 ,50 ,67 54 ,72 ,18 O 
Conchali ,& 0 2 2 17 ,14 ,19 43 ,73 ,134 ,385 ,635 ,724 ,687 ,652 ,655 ,562 ,468 ,331 ,283 ,200 ,90 109 ,95 ,81 93 ,79 ,21 O 
Curacavi ,& O O 1 3 ,5 ,5 4 ,1 ,3 ,19 ,40 ,72 ,97 ,136 ,102 ,89 ,66 ,53 ,46 ,45 ,37 32 ,25 ,20 33 ,20 ,10 O 
EI Bosque ,& 0 O 1 15 ,23 ,32 48 ,49 ,86 ,227 ,404 ,555 ,547 ,748 ,839 ,738 ,566 ,479 ,379 ,246 ,208 137 ,109 ,88 76 ,83 ,16 0 
EI Monte ,& 0 0 1 1 ,1 ,7 4 ,3 ,7 ,16 ,40 ,75 ,141 ,102 ,127 ,131 ,153 ,104 ,100 ,69 ,32 44 ,43 ,39 11 ,8 ,2 0 
Estacion Central ,& 0 2 3 12 ,28 ,34 42 ,81 ,169 ,380 ,576 ,677 ,689 ,748 ,696 ,565 ,444 ,319 ,220 ,203 ,128 95 ,79 ,77 62 ,67 ,13 O 
