,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,4461 ,2.0 ,735.5 ,4115 ,1.9 ,704.8 ,8576 ,2.0 ,720.4 
05 09 anos ,3705 ,1.7 ,567.5 ,3576 ,1.7 ,568.0 ,7281 ,1.7 ,567.8 
10 14 anos ,4215 ,1.9 ,654.7 ,4376 ,2.0 ,704.2 ,8591 ,2.0 ,679.0 
15 19 anos ,7046 ,3.1 ,1099.9 ,8049 ,3.8 ,1299.4 ,15095 ,3.4 ,1198.0 
20 24 anos ,17551 ,7.8 ,2394.4 ,17770 ,8.3 ,2502.2 ,35321 ,8.1 ,2447.4 
25 29 anos ,27518 ,12.3 ,3286.3 ,27183 ,12.7 ,3348.5 ,54701 ,12.5 ,3316.9 
30 34 anos ,28018 ,12.5 ,3458.0 ,25301 ,11.8 ,3219.0 ,53319 ,12.2 ,3340.3 
35 39 anos ,22901 ,10.2 ,3157.2 ,20223 ,9.5 ,2848.8 ,43124 ,9.8 ,3004.7 
40 44 anos ,19422 ,8.7 ,2876.1 ,17122 ,8.0 ,2549.0 ,36544 ,8.3 ,2713.0 
45 49 anos ,18969 ,8.5 ,3005.5 ,17780 ,8.3 ,2776.6 ,36749 ,8.4 ,2890.2 
50 54 anos ,18064 ,8.1 ,3005.5 ,16986 ,7.9 ,2724.8 ,35050 ,8.0 ,2862.6 
55 59 anos ,16996 ,7.6 ,3063.1 ,15543 ,7.3 ,2631.7 ,32539 ,7.4 ,2840.7 
60 64 anos ,12771 ,5.7 ,2711.3 ,11058 ,5.2 ,2133.3 ,23829 ,5.4 ,2408.4 
65 69 anos ,8118 ,3.6 ,2142.4 ,7420 ,3.5 ,1703.1 ,15538 ,3.5 ,1907.4 
70 74 anos ,5792 ,2.6 ,2193.3 ,5552 ,2.6 ,1738.7 ,11344 ,2.6 ,1944.5 
75 79 anos ,3970 ,1.8 ,2250.6 ,4303 ,2.0 ,1812.6 ,8273 ,1.9 ,1999.3 
80 y mas anos ,4819 ,2.1 ,2452.2 ,7531 ,3.5 ,2149.8 ,12350 ,2.8 ,2258.5 
Total ,224336 ,100.0 ,2337.1 ,213888 ,100.0 ,2169.4 ,438224 ,100.0 ,2252.1 
