SagradaFamilia,19469,130,667.7,10,51.4,10,51.4
San Clemente ,46292 ,653 ,1410.6 ,44 ,95.0 ,44 ,95.0 
San Javier ,49451 ,554 ,1120.3 ,16 ,32.4 ,16 ,32.4 
San Rafael ,9959 ,184 ,1847.6 ,32 ,321.3 ,32 ,321.3 
Talca ,& 236724 ,2519 ,1064.1 ,208 ,87.9 ,208 ,87.9 
Teno ,30850 ,349 ,1131.3 ,26 ,84.3 ,26 ,84.3 
Vichuquen ,4381 ,6 ,137.0 ,0 ,0.0 ,O ,0.0 
Villa Alegre ,17512 ,177 ,1010.7 ,16 ,91.4 ,16 ,91.4 
Yerbas Buenas ,& 19200 ,177 ,921.9 ,19 ,99.0 ,19 ,99.0 
Desconocido ,& - ,7 ,- ,4 ,- ,4 ,-- 
Total ,1131939 ,12301 ,1086.7 ,838 ,74.0 ,837 ,73.9 
