,SESE,SESE,SESE,SE,SESE,SESE,SE,SE,SESE,SE,SE,SE,SE,SESE,SE,SE,SE,SESE,SE,SE
Comuna ,9 10 ,11 12 ,13 14 ,15 ,16 17 ,18 19 ,20 ,21 ,22 23 ,24 ,25 ,26 ,27 ,28 29 ,30 ,31 ,32 ,33 34 ,35 ,36 
Bulnes ,O O ,O 9 ,27 10 ,7 ,8 8 ,9 25 ,44 ,26 ,19 20 ,16 ,19 ,14 ,30 ,37 20 ,34 ,35 ,51 ,51 32 ,6 ,O 
Chillan & ,0 1 ,28 120 ,117 75 ,33 ,26 17 ,15 21 ,68 ,59 ,68 114 ,125 ,175 ,141 ,174 ,176 106 ,76 ,81 ,109 ,120 240 ,72 ,0 
Chillan Viejo ,O O ,5 7 ,19 7 ,14 ,3 1 ,1 4 ,15 ,22 ,12 27 ,21 ,26 ,22 ,25 ,29 23 ,5 ,10 ,18 ,15 33 ,18 ,O 
Cobquecura ,O O ,O O ,O O ,O ,O O ,O O ,O ,O ,O O ,O ,O ,O ,O ,1 O ,1 ,O ,8 ,9 1 ,O ,O 
Coelemu ,O O ,O 0 ,2 2 ,O ,O O ,O O ,2 ,6 ,10 8 ,9 ,18 ,4 ,1 ,9 1 ,5 ,3 ,6 ,6 O ,O ,O 
Coihueco ,O O ,O 2 ,3 4 ,6 ,12 12 ,3 1 ,8 ,1 ,1 5 ,12 ,18 ,11 ,31 ,41 23 ,12 ,10 ,12 ,13 22 ,5 ,O 
EI Carmen ,O O ,O 2 ,O 1 ,O ,O O ,O 1 ,3 ,8 ,15 4 ,15 ,11 ,7 ,7 ,16 2 ,5 ,6 ,O ,1 12 ,8 ,O 
Ninhue ,O O ,O O ,O 2 ,O ,2 O ,O O ,1 ,3 ,2 2 ,7 ,7 ,11 ,4 ,2 1 ,5 ,2 ,1 ,2 1 ,O ,O 
Niquen ,O O ,O 1 ,O 1 ,2 ,O O ,1 O ,5 ,3 ,11 17 ,18 ,5 ,5 ,1 ,4 8 ,6 ,3 ,5 ,29 12 ,O ,O 
Pemuco ,O O ,O 1 ,O 4 ,1 ,O O ,O 3 ,1 ,2 ,5 5 ,20 ,33 ,4 ,9 ,11 3 ,1 ,1 ,1 ,O 6 ,4 ,O 
Pinto ,0 O ,O 2 ,3 5 ,1 ,1 O ,0 O ,3 ,O ,2 1 ,4 ,8 ,9 ,4 ,16 5 ,3 ,3 ,2 ,2 4 ,1 ,O 
Portezuelo ,O O ,O O ,O O ,O ,O O ,O 1 ,4 ,2 ,O O ,O ,4 ,O ,1 ,5 4 ,O ,O ,2 ,O 2 ,1 ,O 
Quillon ,O O ,O 8 ,8 8 ,1 ,O 2 ,2 2 ,9 ,6 ,13 25 ,20 ,15 ,7 ,15 ,29 4 ,8 ,4 ,5 ,5 12 ,6 ,O 
Quirihue ,0 O ,O 0 ,1 2 ,O ,1 O ,1 7 ,4 ,1 ,5 1 ,1 ,9 ,10 ,5 ,13 1 ,8 ,7 ,12 ,17 14 ,1 ,0 
Ranquil ,O O ,O 1 ,3 ,6 O ,O O ,O 1 ,O ,O ,O 1 ,4 ,6 ,2 ,O ,6 6 ,5 ,1 ,6 ,1 3 ,O ,O 
San Carlos ,O O ,2 5 ,11 9 ,3 ,3 3 ,3 7 ,7 ,13 ,29 61 ,91 ,56 ,46 ,61 ,39 30 ,16 ,7 ,16 ,17 28 ,12 ,O 
San Fabian ,0 O ,O 3 ,3 1 ,O ,1 O ,O 0 ,0 ,1 ,O O ,0 ,O ,O ,O ,3 1 ,1 ,1 ,1 ,0 O ,1 ,O 
San Ignacio ,O O ,O 2 ,3 1 ,O ,1 3 ,3 1 ,2 ,6 ,8 9 ,52 ,32 ,6 ,6 ,14 18 ,5 ,4 ,2 ,O 4 ,3 ,O 
San Nicolas ,O O ,O 2 ,6 5 ,4 ,O O ,O 2 ,3 ,9 ,8 10 ,5 ,3 ,10 ,15 ,22 7 ,6 ,12 ,7 ,2 7 ,4 ,O 
Treguaco ,O O ,O O ,O O ,O ,O O ,O O ,1 ,O ,O 1 ,O ,1 ,1 ,O ,1 1 ,2 ,O ,8 ,2 5 ,3 ,O 
Yungay ,O O ,O 3 ,16 21 ,3 ,4 6 ,2 2 ,2 ,O ,6 2 ,5 ,11 ,14 ,4 ,13 6 ,15 ,1 ,8 ,4 4 ,O ,O 
Desconocido & ,O O ,O O ,O O ,O ,O O ,O O ,O ,O ,O O ,O ,O ,O ,O ,1 O ,O ,O ,O ,O 1 ,11 ,O 
Total ,0 1 ,35 168 ,222 164 ,75 ,62 52 ,40 78 ,182 ,168 ,214 313 ,425 ,457 ,324 ,393 ,488 270 ,219 ,191 ,280 ,296 443 ,156 ,0 
