Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,0 ,0.0 ,0 ,0.0 
Futrono ,15261 ,62 ,406.3 ,O ,0.0 ,0 ,0.0 
La Union ,39538 ,108 ,273.2 ,3 ,7.6 ,3 ,7.6 
Lago Ranco ,10292 ,8 ,77.7 ,O ,0.0 ,0 ,0.0 
Lanco ,17652 ,43 ,243.6 ,9 ,51.0 ,9 ,51.0 
LOs Lagos ,20518 ,64 ,311.9 ,1 ,4.9 ,1 ,4.9 
Mafil ,7389 ,35 ,473.7 ,1 ,13.5 ,1 ,13.5 
Mariquina ,23250 ,46 ,197.8 ,7 ,30.1 ,7 ,30.1 
Paillaco ,20798 ,40 ,192.3 ,2 ,9.6 ,2 ,9.6 
Panguipulli ,35991 ,70 ,194.5 ,2 ,5.6 ,2 ,5.6 
Rio Bueno ,32925 ,74 ,224.8 ,14 ,42.5 ,14 ,42.5 
Valdivia ,176774 ,559 ,316.2 ,35 ,19.8 ,35 ,19.8 
Desconocido ,- ,7 ,- ,O ,- ,O ,- 
Total ,405835 ,1142 ,281.4 ,74 ,18.2 ,74 ,18.2 
