,,,Numerode,Casos,segunFecha,deInicio,deSintomas.,,Notificacion,OTomadeMuestra,
,Residencia ,SE SE SE SE SE SE ,SE SE SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE SE ,SE SE SE SE SE SE ,SE SE SE SE 
Region de Notificacion O Toma de Muestra ,Desconocida ,9 10 11 12 13 14 ,15 16 17 18 ,19 ,20 21 ,22 ,23 ,24 ,25 26 ,27 28 29 30 31 32 ,33 34 35 36 
Region de Arica y Parinacota ,23 ,O 0 O O O O ,1 O O O ,O ,O O ,O ,O ,O ,O 0 ,O 0 2 3 3 10 ,2 2 O 0 
Region de Tarapaca ,443 ,0 0 O 0 O O ,1 O 1 5 ,95 ,29 25 ,25 ,31 ,25 ,20 22 ,15 20 33 35 14 17 ,13 11 6 0 
Region de Antofagasta ,271 ,0 O O O 0 0 ,O 1 5 O ,1 ,1 O ,O ,5 ,10 ,41 30 ,27 21 24 21 27 26 ,14 14 3 0 
Region de Atacama ,35 ,0 0 O 0 O O ,O O O O ,O ,O O ,O ,O ,O ,9 1 ,2 1 3 2 O 11 ,2 3 1 0 
Region de Coquimbo ,141 ,O O O 1 O 3 ,1 1 1 O ,1 ,3 10 ,8 ,9 ,17 ,11 16 ,10 18 12 1 8 4 ,2 3 1 0 
Region de Valparaiso ,410 ,0 O O 2 3 3 ,1 1 O 0 ,11 ,8 6 ,37 ,27 ,37 ,57 46 ,51 25 24 11 10 11 ,9 15 15 0 
Region Metropolitana de Santiago ,15410 ,0 0 6 10 19 54 ,177 364 557 685 ,1364 ,2132 2395 ,1644 ,1281 ,1293 ,1353 795 ,426 268 156 92 104 53 ,38 73 71 0 
Region del Libertador Bernardo OHiggins ,42 ,0 0 O 0 0 O ,1 0 O O ,1 ,1 2 ,O ,6 ,1 ,6 7 ,2 6 2 5 O 1 ,0 0 1 0 
Region del Maule ,7 ,0 O O 0 0 0 ,O 0 O O ,O ,O O ,O ,0 ,2 ,0 0 ,O O 1 O O O ,O 1 3 0 
Region del Nuble ,13 ,0 0 O O O O ,O 0 O O ,0 ,O O ,O ,O ,0 ,0 0 ,O 1 O O 0 O ,0 1 11 0 
Region del Biobio ,201 ,O 0 O 1 O 0 ,O O O O ,2 ,4 6 ,6 ,9 ,6 ,27 35 ,7 11 11 10 12 7 ,5 16 26 O 
Region de la Araucania ,1 ,0 O O 0 1 0 ,O 0 0 O ,0 ,O O ,O ,0 ,0 ,0 0 ,0 0 O O 0 0 ,0 0 0 0 
Region de Los Rios ,7 ,0 0 1 O 0 O ,1 1 O O ,0 ,O O ,1 ,O ,1 ,1 0 ,O O O O O 1 ,O O O 0 
Region de Los Lagos ,70 ,0 0 9 10 3 1 ,O 1 3 O ,1 ,1 2 ,3 ,1 ,1 ,3 3 ,4 12 4 2 2 O ,0 0 4 0 
Region de Aysen GCarlos ibanez del Campo ,1 ,0 0 1 O O O ,O O O O ,O ,O O ,O ,O ,0 ,O 0 ,O 0 O O O O ,0 0 O 0 
Region de Magallanes y la Antartica Chilena ,9 ,0 O O O O O ,O O O O ,O ,O O ,O ,0 ,1 ,O O ,1 0O O 1 O O ,O 5 1 O 
Desconocido ,55 ,O O O 2 9 1 ,1 1 1 3 ,4 ,0 6 ,3 ,21 ,0 ,0 0 ,O 0 0 O 0 1 ,1 0 O 0 
Total pais ,17139 ,0 0 17 26 35 62 ,184 370 568 693 ,1480 ,2179 2452 ,1727 ,1390 ,1394 ,1528 955 ,545 383 272 183 180 142 ,86 144 143 0 
