Region,Comuna,Confirmado(U071),Probable(U072),Total
Arica ,Arica ,106 ,43 ,149 
,Alto Hospicio ,52 ,9 ,61 
,Camina ,2 ,1 ,3 
,Colchane ,1 ,,1 
Tarapaca ,Huara ,2 ,,2 
,Iquique ,128 ,30 ,158 
,Pica ,2 ,,2 
,Pozo Almonte ,12 ,2 ,14 
,Antofagasta ,184 ,50 ,234 
,Calama ,214 ,88 ,302 
,Maria Elena ,9 ,1 ,10 
Antofagasta ,Mejillones ,4 ,1 ,5 
,San Pedro de Atacama ,11 ,2 ,13 
,Taltal ,4 ,3 ,7 
,Tocopilla ,11 ,3 ,14 
,Alto del Carmen ,,1 ,1 
,Chanaral ,,2 ,2 
,Copiapo ,39 ,27 ,66 
,Diego de Almagro ,2 ,1 ,3 
Atacama ,Freirina ,2 ,2 ,4 
,Huasco ,,2 ,2 
,Tierra Amarilla ,,2 ,2 
,Vallenar ,3 ,12 ,15 
,Andacollo ,,3 ,3 
,Canela ,2 ,1 ,3 
,Combarbala ,1 ,1 ,2 
,Coquimbo ,32 ,26 ,58 
,Illapel ,2 ,1 ,3 
,La Higuera ,1 ,,1 
,La Serena ,43 ,15 ,58 
Coquimbo ,Los Vilos ,8 ,4 ,12 
,Monte Patria ,3 ,2 ,5 
,Ovalle ,27 ,9 ,36 
,Paiguano ,,2 ,2 
,Punitaqui ,2 ,1 ,3 
,Rio Hurtado ,,1 ,1 
,Salamanca ,4 ,8 ,12 
,Vicuna ,1 ,4 ,5 
,Algarrobo ,6 ,7 ,13 
,Cabildo ,16 ,6 ,22 
,Calera ,31 ,31 ,62 
,Calle Larga ,4 ,4 ,8 
,Cartagena ,3 ,6 ,9 
,Casablanca ,5 ,7 ,12 
,Catemu ,5 ,3 ,8 
,Concon ,12 ,4 ,16 
,EI Quisco ,5 ,4 ,9 
Valparaiso ,EI Tabo ,7 ,8 ,15 
,Hijuelas ,7 ,4 ,11 
,La Cruz ,3 ,4 ,7 
,La Ligua ,21 ,14 ,35 
,Limache ,21 ,15 ,36 
,Llaillay ,7 ,3 ,10 
,Los Andes ,41 ,14 ,55 
,Nogales ,5 ,10 ,15 
,Olmue ,5 ,4 ,9 
,Panquehue ,2 ,,2 
