,Papudo,3,1,4
,Petorca ,3 ,,3 
,Puchuncavi ,5 ,4 ,9 
,Putaendo ,4 ,7 ,11 
,Quillota ,43 ,25 ,68 
,Quilpue ,51 ,38 ,89 
,Quintero ,13 ,7 ,20 
,Rinconada ,5 ,2 ,7 
,San Antonio ,39 ,31 ,70 
,San Esteban ,7 ,7 ,14 
,San Felipe ,32 ,7 ,39 
,Santa Maria ,4 ,2 ,6 
,Santo Domingo ,,2 ,2 
,Valparaiso ,90 ,67 ,157 
,Villa Alemana ,26 ,28 ,54 
,Vina del Mar ,140 ,66 ,206 
,Zapallar ,3 ,1 ,4 
,Alhue ,4 ,1 ,5 
,Buin ,94 ,20 ,114 
,Calera de Tango ,10 ,3 ,13 
,Cerrillos ,69 ,27 ,96 
,Cerro Navia ,280 ,82 ,362 
,Colina ,110 ,34 ,144 
,Conchali ,218 ,83 ,301 
,Curacavi ,18 ,3 ,21 
,EI Bosque ,205 ,71 ,276 
,EI Monte ,37 ,14 ,51 
,Estacion Central ,137 ,92 ,229 
,Huechuraba ,142 ,31 ,173 
,Independencia ,262 ,79 ,341 
,Isla de Maipo ,18 ,8 ,26 
,La Cisterna ,134 ,31 ,165 
,La Florida ,448 ,120 ,568 
,La Granja ,183 ,70 ,253 
,La Pintana ,283 ,112 ,395 
,La Reina ,87 ,21 ,108 
,Lampa ,63 ,26 ,89 
,Las Condes ,311 ,66 ,377 
,Lo Barnechea ,80 ,12 ,92 
,Lo Espejo ,182 ,37 ,219 
Metropolitana ,Lo Prado ,148 ,32 ,180 
,Macul ,141 ,28 ,169 
,Maipu ,465 ,225 ,690 
,Maria Pinto ,8 ,2 ,10 
,Melipilla ,113 ,29 ,142 
,Nunoa ,251 ,85 ,336 
,Padre Hurtado ,59 ,17 ,76 
,Paine ,46 ,13 ,59 
,Pedro Aguirre Cerda ,210 ,46 ,256 
,Penaflor ,120 ,23 ,143 
,Penalolen ,323 ,69 ,392 
,Pirque ,23 ,13 ,36 
,Providencia ,159 ,47 ,206 
,Pudahuel ,248 ,46 ,294 
,Puente Alto ,638 ,172 ,810 
,Quilicura ,167 ,40 ,207 
,Quinta Normal ,165 ,63 ,228 
,Recoleta ,305 ,86 ,391 
,Renca ,219 ,52 ,271 
,San Bernardo ,342 ,91 ,433 
,San Joaquin San Jose de Maipo San Miguel ,135 12 179 ,38 7 53 ,173 19 232 
,San Pedro ,4 ,,4 
