RegionMetropolitana,,,,,,,,,,93.3
II Antofagasta ,,,,,,,,,781 ,
Tarapaca ,,,,,,54.7 ,,,,
Pais ,,,,,,49.9 ,,,,
XV Arica Parinacota ,,,,,401 ,,,,,
VI O'Higgins ,,,,30.8 ,,,,,,
VValparaiso ,,,,305 ,,,,,,
XII Magallanes la Antart ,,,25.6 ,,,,,,,
VII Maule ,,,21.4 ,,,,,,,
III Atacama ,,,20.2 ,,,,,,,
IV Coquimbo ,,150 ,,,,,,,,
VIII Del Biobio ,,13.9 ,,,,,,,,
XVI IDe Nuble ,,126 ,,,,,,,,
IX Araucania ,,11.7 ,,,,,,,,
X Los Lagos ,,9.9 ,,,,,,,,
XIV Los Rios ,48 ,,,,,,,,,
XI Aysen ,X 3.5 ,,,,,,,,,
Ignorada ,0.0 ,,,,,,,,,
