RegionMetropolitana,,,,,,,,,,,,71.1
II Antofagasta ,,,,,,,,,,58.2 ,,
Tarapaca ,,,,,,,45.2 ,,,,,
Pais ,,,,,36.0 ,,,,,,,
XV Arica y Parinacota ,,,,28.2 ,,,,,,,,
VI O'Higgins ,,19.5 ,,,,,,,,,,
VValparaiso ,18.4 ,,,,,,,,,,,
VII Maule ,12.9 ,,,,,,,,,,,
XI Magallanes la Antart ,128 ,,,,,,,,,,,
III Atacama ,9.7 ,,,,,,,,,,,
IV Coquimbo ,93 ,,,,,,,,,,,
XVI De Nuble ,7.7 ,,,,,,,,,,,
VIII Del Biobio ,7.4 ,,,,,,,,,,,
IX Araucania ,51 ,,,,,,,,,,,
XLos Lagos ,44 ,,,,,,,,,,,
XIV Los Rios ,21 ,,,,,,,,,,,
XI Aysen ,1.1 ,,,,,,,,,,,
Ignorada ,0.0 ,,,,,,,,,,,
