,SESESE,SESE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE,SE
Comuna ,9 10 11 ,12 13 ,14 15 ,16 ,17 ,18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 31 ,32 
,& O 1 2 ,27 32 ,41 59 ,110 ,162 ,216 312 ,312 ,305 ,356 ,503 ,602 ,705 ,794 ,913 ,766 ,568 ,512 266 ,0 
,& 1 O 2 ,3 3 ,9 18 ,17 ,40 ,54 92 ,236 ,285 ,445 ,813 ,996 ,924 ,741 ,656 ,451 ,340 ,252 97 ,0 
Elena ,& 1 O O ,O O ,O 5 ,9 ,16 ,45 42 ,30 ,13 ,12 ,11 ,7 ,41 ,29 ,27 ,7 ,15 ,7 11 ,O 
,O O O ,O 1 ,8 15 ,18 ,30 ,76 45 ,51 ,19 ,19 ,10 ,17 ,39 ,49 ,25 ,16 ,10 ,20 9 ,O 
,O O O ,0 0 ,0 0 ,0 ,0 ,0 O ,0 ,O ,O ,0 ,2 ,6 ,1 ,2 ,5 ,5 ,0 O ,O 
Pedro de ,& O O O ,2 1 ,1 O ,O ,1 ,O O ,2 ,4 ,4 ,18 ,21 ,33 ,35 ,35 ,36 ,45 ,20 17 ,O 
Gorda ,O O O ,O O ,O 0 ,0 ,O ,3 5 ,5 ,3 ,12 ,6 ,8 ,3 ,4 ,2 ,5 ,6 ,6 2 ,O 
,& O O O ,O O ,2 3 ,2 ,1 ,1 3 ,12 ,6 ,9 ,7 ,9 ,12 ,7 ,12 ,21 ,16 ,2 6 ,O 
,& O O O ,2 O ,4 5 ,O ,1 ,2 7 ,8 ,8 ,5 ,6 ,25 ,51 ,61 ,43 ,22 ,19 ,6 3 ,O 
,& O O O ,O O ,O O ,O ,5 ,O 1 ,1 ,O ,O ,5 ,10 ,41 ,30 ,30 ,26 ,24 ,21 28 ,O 
,2 1 4 ,34 37 ,65 105 ,156 ,256 ,397 507 ,657 ,643 ,862 ,1379 ,1697 ,1855 ,1751 ,1745 ,1355 ,1048 ,846 439 ,0 
