Comuna,SESESESE,SESESE,SESESE,SESE,SESE,SE,SESE,SE,SE,SE,SESE,SESE
,9 10 11 12 ,13 14 15 ,16 17 18 ,19 20 ,21 22 ,23 ,24 25 ,26 ,27 ,28 ,29 30 ,31 32 
Alto del Carmen ,O 0 0 O ,O O O ,O O O ,0 O ,O 1 ,3 ,1 1 ,1 ,1 ,2 ,1 O ,O O 
Caldera ,& O O 0 O ,0 0 O ,O O 2 ,2 1 ,1 3 ,2 ,7 5 ,14 ,7 ,6 ,19 13 ,6 O 
Chaharal ,O O O O ,O O O ,O O O ,O O ,1 O ,2 ,6 12 ,2 ,4 ,9 ,6 9 ,2 O 
Copiapo ,& O O 1 O ,3 1 4 ,O 12 27 ,27 14 ,26 57 ,114 ,121 146 ,153 ,173 ,195 ,286 466 ,256 0 
Diego de Almagro ,& 1 O O O ,1 O O ,O O 1 ,1 4 ,3 6 ,3 ,9 4 ,2 ,10 ,4 ,1 4 ,O O 
Freirina ,O O O O ,O O O ,1 O O ,O O ,O O ,2 ,1 5 ,3 ,10 ,23 ,3 4 ,4 O 
Huasco ,O O O O ,O O O ,O O 1 ,O O ,O 2 ,6 ,3 4 ,6 ,3 ,O ,1 6 ,2 O 
Tierra Amarilla ,O O O O ,O 2 3 ,O 2 5 ,10 2 ,O 1 ,10 ,15 11 ,5 ,14 ,22 ,22 39 ,28 O 
Vallenar ,& O O O O ,O O 1 ,8 12 10 ,13 2 ,6 16 ,27 ,55 66 ,53 ,73 ,60 ,34 28 ,20 O 
Desconocido ,& O O O O ,O O O ,O O O ,O O ,O O ,O ,O 9 ,1 ,2 ,1 ,3 2 ,O O 
Total ,1 0 1 0 ,4 3 8 ,9 26 46 ,53 23 ,37 86 ,169 ,218 263 ,240 ,297 ,322 ,376 571 ,318 0 
