Papudo,&,6201,87,1403.0,2,32.3,8,129.0,8,129.0
Petorca ,& ,10558 ,94 ,890.3 ,1 ,9.5 ,10 ,94.7 ,10 ,94.7 
Puchuncavi ,& ,20071 ,169 ,842.0 ,4 ,19.9 ,9 ,44.8 ,9 ,44.8 
Putaendo ,,17645 ,223 ,1263.8 ,6 ,34.0 ,22 ,124.7 ,22 ,124.7 
Quillota ,& ,97572 ,1525 ,1562.9 ,38 ,38.9 ,97 ,99.4 ,96 ,98.4 
Quilpue ,& ,167085 ,1550 ,927.7 ,39 ,23.3 ,77 ,46.1 ,75 ,44.9 
Quintero ,& ,36135 ,392 ,1084.8 ,9 ,24.9 ,11 ,30.4 ,10 ,27.7 
Rinconada ,& ,11263 ,170 ,1509.4 ,4 ,35.5 ,5 ,44.4 ,5 ,44.4 
San Antonio ,& ,96761 ,1303 ,1346.6 ,37 ,38.2 ,81 ,83.7 ,81 ,83.7 
San Esteban ,& ,20643 ,223 ,1080.3 ,3 ,14.5 ,16 ,77.5 ,16 ,77.5 
San Felipe ,& ,83494 ,1113 ,1333.0 ,28 ,33.5 ,50 ,59.9 ,49 ,58.7 
Santa Maria ,,16367 ,240 ,1466.4 ,5 ,30.5 ,23 ,140.5 ,23 ,140.5 
Santo Domingo ,,11934 ,146 ,1223.4 ,2 ,16.8 ,3 ,25.1 ,3 ,25.1 
Valparaiso ,& ,315732 ,4074 ,1290.3 ,91 ,28.8 ,289 ,91.5 ,289 ,91.5 
Villa Alemana ,& ,139310 ,1490 ,1069.6 ,19 ,13.6 ,79 ,56.7 ,79 ,56.7 
Vina del Mar ,& ,361371 ,3805 ,1052.9 ,100 ,27.7 ,234 ,64.8 ,234 ,64.8 
Zapallar ,,7994 ,75 ,938.2 ,2 ,25.0 ,3 ,37.5 ,3 ,37.5 
Desconocido ,& ,- ,433 ,- ,0 ,- ,53 ,- ,53 ,- 
Total ,,1960170 ,23326 ,1190.0 ,550 ,28.1 ,1573 ,80.2 ,1562 ,79.7 
