Comuna,SESESESE,SE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
,9 10 11 12 ,13 ,14 15 ,16 ,17 ,18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 32 
Algarrobo ,0 O 1 4 ,4 ,O 0 ,O ,2 ,4 6 ,13 ,10 ,7 ,19 ,19 ,8 ,6 ,2 ,3 ,2 ,O ,O O 
Cabildo ,& O O 0 0 ,O ,0 O ,0 ,5 ,3 2 ,7 ,7 ,17 ,20 ,40 ,49 ,55 ,30 ,30 ,11 ,5 ,O O 
Calera ,& O O O 1 ,6 ,3 4 ,7 ,2 ,2 7 ,19 ,21 ,23 ,51 ,60 ,83 ,86 ,98 ,96 ,100 ,67 ,24 O 
Calle Larga ,& 1 O O O ,1 ,1 3 ,1 ,O ,4 3 ,8 ,29 ,25 ,27 ,24 ,24 ,41 ,20 ,9 ,7 ,10 ,2 0 
Cartagena ,& 0 O 0 O ,O ,2 0 ,1 ,5 ,5 12 ,8 ,17 ,11 ,17 ,20 ,20 ,15 ,18 ,11 ,14 ,7 ,6 O 
Casablanca ,& O O O 2 ,O ,1 1 ,O ,O ,O 9 ,9 ,9 ,13 ,24 ,24 ,17 ,25 ,19 ,18 ,17 ,22 ,9 O 
Catemu ,O O O 1 ,O ,O O ,O ,O ,1 1 ,7 ,3 ,14 ,15 ,14 ,4 ,19 ,8 ,12 ,9 ,14 ,12 O 
Con Con ,0 O 0 4 ,4 ,3 1 ,O ,11 ,6 9 ,16 ,19 ,27 ,53 ,45 ,53 ,79 ,73 ,52 ,25 ,12 ,9 O 
EI Quisco ,& 0 O O 1 ,O ,4 2 ,4 ,O ,5 9 ,14 ,15 ,15 ,19 ,11 ,7 ,12 ,23 ,9 ,12 ,9 ,6 0 
EI Tabo ,& O O O O ,5 ,O 2 ,3 ,3 ,4 7 ,6 ,16 ,26 ,19 ,20 ,23 ,33 ,18 ,9 ,8 ,18 ,5 O 
Hijuelas ,O O O O ,O ,O 1 ,O ,O ,O O ,8 ,10 ,14 ,12 ,12 ,20 ,23 ,20 ,30 ,24 ,20 ,9 O 
Isla de Pascua ,0 O O 2 ,1 ,2 0 ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,0 ,O ,0 O 
Juan Fernandez ,O O O O ,O ,O O ,O ,O ,O O ,O ,O ,0 ,O ,O ,O ,O ,O ,O ,O ,O ,O O 
La Cruz ,& 0 1 O 1 ,2 ,3 1 ,0 ,1 ,8 7 ,4 ,5 ,14 ,15 ,10 ,14 ,25 ,17 ,19 ,25 ,29 ,8 O 
La Ligua ,& 0 O 0 2 ,0 ,1 O ,0 ,O ,1 3 ,10 ,17 ,27 ,33 ,48 ,30 ,43 ,45 ,40 ,36 ,36 ,7 0 
Limache ,& 0 O 0 3 ,O ,5 9 ,6 ,1 ,7 25 ,33 ,25 ,36 ,84 ,98 ,104 ,84 ,94 ,59 ,49 ,29 ,16 0 
Llaillay ,O O O 1 ,1 ,O 0 ,O ,1 ,2 5 ,30 ,23 ,26 ,33 ,22 ,33 ,28 ,31 ,49 ,20 ,23 ,8 0 
Los Andes ,0 O O 2 ,3 ,0 4 ,0 ,2 ,10 21 ,57 ,85 ,94 ,142 ,111 ,109 ,92 ,82 ,64 ,63 ,51 ,10 0 
Nogales ,& 0 O O O ,O ,0 0 ,O ,O ,2 4 ,6 ,6 ,7 ,9 ,16 ,19 ,16 ,21 ,20 ,36 ,32 ,7 O 
Olmue ,& 0 O 0 0 ,0 ,1 1 ,1 ,O ,O 2 ,5 ,11 ,7 ,14 ,22 ,15 ,10 ,17 ,16 ,16 ,15 ,6 O 
Panquehue ,& O O O O ,0 ,O O ,O ,O ,O 4 ,5 ,6 ,4 ,15 ,6 ,10 ,8 ,9 ,17 ,23 ,10 ,O O 
Papudo ,& 0 O 0 0 ,0 ,1 0 ,1 ,0 ,O 0 ,6 ,4 ,13 ,13 ,14 ,9 ,6 ,5 ,4 ,3 ,7 ,1 0 
Petorca ,& 0 O O 1 ,4 ,1 0 ,O ,O ,O 1 ,4 ,5 ,9 ,4 ,5 ,14 ,10 ,10 ,8 ,8 ,8 ,2 O 
Puchuncavi ,& O O O O ,0 ,O O ,O ,O ,O 4 ,11 ,6 ,8 ,30 ,26 ,24 ,19 ,14 ,11 ,6 ,7 ,3 O 
Putaendo ,O O O 1 ,O ,0 1 ,3 ,2 ,2 7 ,7 ,7 ,15 ,29 ,27 ,28 ,26 ,21 ,18 ,6 ,16 ,7 O 
Quillota ,& 0 1 0 3 ,7 ,3 8 ,1 ,5 ,3 19 ,22 ,47 ,78 ,193 ,193 ,209 ,205 ,211 ,130 ,82 ,78 ,27 0 
