Comuna,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 ,10 11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 
Alhue ,& O ,O O ,O ,O ,1 ,0 ,O ,O ,O ,5 ,1 ,4 ,9 ,15 ,25 ,13 ,18 ,32 ,28 ,18 ,21 ,11 ,0 
Buin ,& O ,O O ,5 ,16 ,10 ,13 ,19 ,21 ,62 ,138 ,188 ,231 ,216 ,280 ,268 ,208 ,168 ,166 ,116 ,103 ,64 ,25 ,O 
Calera de Tango ,0 ,0 O ,4 ,4 ,1 ,1 ,5 ,1 ,7 ,19 ,32 ,37 ,71 ,72 ,75 ,55 ,77 ,39 ,31 ,18 ,13 ,5 ,0 
Cerrillos ,& 1 ,3 1 ,4 ,11 ,13 ,21 ,21 ,67 ,228 ,205 ,278 ,317 ,278 ,347 ,339 ,240 ,183 ,157 ,89 ,91 ,94 ,34 ,0 
Cerro Navia ,& 0 ,2 10 ,16 ,16 ,14 ,38 ,49 ,108 ,269 ,576 ,698 ,738 ,777 ,767 ,652 ,553 ,327 ,268 ,203 ,136 ,104 ,62 ,0 
Colina ,& 1 ,3 7 ,28 ,15 ,26 ,17 ,25 ,36 ,134 ,372 ,541 ,610 ,616 ,605 ,419 ,341 ,251 ,178 ,146 ,74 ,45 ,28 ,O 
Conchali ,& O ,2 2 ,17 ,14 ,19 ,42 ,74 ,134 ,383 ,630 ,717 ,670 ,647 ,652 ,560 ,461 ,326 ,279 ,198 ,89 ,98 ,45 ,O 
Curacavi ,O ,O 1 ,3 ,5 ,5 ,4 ,1 ,4 ,18 ,40 ,72 ,97 ,137 ,100 ,89 ,65 ,52 ,45 ,45 ,36 ,30 ,16 ,0 
EI Bosque ,& O ,O 1 ,14 ,23 ,33 ,47 ,49 ,88 ,226 ,401 ,554 ,542 ,750 ,835 ,734 ,566 ,479 ,378 ,247 ,207 ,126 ,53 ,O 
EI Monte ,& O ,O 1 ,1 ,1 ,7 ,4 ,3 ,7 ,16 ,41 ,75 ,141 ,101 ,127 ,130 ,153 ,101 ,100 ,69 ,31 ,40 ,25 ,O 
Estacion Central ,& O ,2 3 ,12 ,28 ,34 ,42 ,81 ,169 ,379 ,572 ,675 ,685 ,746 ,694 ,562 ,444 ,318 ,219 ,201 ,124 ,95 ,51 ,O 
Huechuraba ,& 1 ,0 5 ,21 ,11 ,19 ,21 ,33 ,57 ,209 ,375 ,499 ,454 ,423 ,389 ,288 ,306 ,186 ,144 ,110 ,88 ,85 ,36 ,0 
Independencia ,& O ,O 4 ,16 ,10 ,26 ,50 ,146 ,308 ,573 ,787 ,780 ,778 ,732 ,566 ,443 ,333 ,215 ,198 ,163 ,110 ,80 ,66 ,O 
Isla de Maipo ,& O ,O 0 ,2 ,2 ,7 ,2 ,0 ,4 ,13 ,25 ,37 ,70 ,90 ,103 ,80 ,77 ,78 ,70 ,111 ,120 ,72 ,29 ,0 
La Cisterna ,& O ,O 3 ,11 ,13 ,18 ,19 ,28 ,64 ,121 ,242 ,328 ,314 ,429 ,398 ,310 ,281 ,187 ,122 ,117 ,54 ,60 ,27 ,0 
La Florida ,& 1 ,2 12 ,31 ,59 ,64 ,81 ,107 ,209 ,596 ,1039 ,1552 ,1733 ,1629 ,1666 ,1191 ,1075 ,809 ,515 ,404 ,271 ,228 ,83 ,0 
La Granja ,& O ,O 1 ,6 ,15 ,36 ,22 ,21 ,77 ,276 ,615 ,917 ,1028 ,802 ,811 ,643 ,526 ,355 ,350 ,186 ,97 ,92 ,28 ,O 
La Pintana ,& 1 ,1 3 ,10 ,21 ,35 ,51 ,96 ,163 ,358 ,780 ,942 ,1296 ,1435 ,1408 ,989 ,745 ,558 ,346 ,241 ,220 ,183 ,76 ,0 
La Reina ,& O ,O 12 ,17 ,13 ,18 ,8 ,14 ,41 ,75 ,125 ,221 ,307 ,254 ,247 ,223 ,185 ,129 ,113 ,70 ,47 ,28 ,22 ,0 
Lampa ,& O ,O O ,9 ,14 ,15 ,14 ,19 ,54 ,139 ,295 ,348 ,401 ,382 ,439 ,368 ,250 ,190 ,158 ,151 ,109 ,54 ,28 ,O 
Las Condes ,& 1 ,18 60 ,128 ,69 ,43 ,37 ,34 ,76 ,247 ,504 ,703 ,756 ,685 ,583 ,502 ,372 ,288 ,219 ,140 ,128 ,90 ,42 ,0 
Lo Barnechea ,& 0 ,2 14 ,55 ,30 ,23 ,37 ,40 ,65 ,151 ,269 ,401 ,419 ,369 ,444 ,303 ,168 ,122 ,100 ,54 ,63 ,52 ,29 ,0 
Lo Espejo ,& O ,O 1 ,5 ,9 ,25 ,31 ,21 ,80 ,178 ,346 ,433 ,380 ,514 ,551 ,401 ,357 ,264 ,185 ,147 ,121 ,86 ,37 ,O 
Lo Prado ,& O ,O 3 ,6 ,21 ,16 ,24 ,31 ,105 ,197 ,354 ,500 ,513 ,629 ,534 ,493 ,404 ,250 ,204 ,212 ,158 ,67 ,55 ,O 
Macul ,& O ,1 3 ,17 ,23 ,20 ,14 ,24 ,78 ,190 ,439 ,539 ,643 ,558 ,632 ,471 ,373 ,254 ,182 ,153 ,84 ,100 ,42 ,0 
Maipu ,& 0 ,1 13 ,52 ,73 ,84 ,98 ,116 ,158 ,433 ,910 ,1373 ,1597 ,1693 ,1825 ,1599 ,1265 ,970 ,694 ,534 ,347 ,288 ,120 ,0 
