Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,& ,15925 ,151 ,948.2 ,4 ,25.1 ,13 ,81.6 ,13 ,81.6 
Chimbarongo ,& ,37696 ,188 ,498.7 ,5 ,13.3 ,17 ,45.1 ,17 ,45.1 
Codegua ,& ,14096 ,206 ,1461.4 ,5 ,35.5 ,16 ,113.5 ,16 ,113.5 
Coinco ,,7831 ,116 ,1481.3 ,3 ,38.3 ,9 ,114.9 ,9 ,114.9 
Coltauco ,,21263 ,226 ,1062.9 ,7 ,32.9 ,51 ,239.9 ,51 ,239.9 
Donihue ,& ,22700 ,414 ,1823.8 ,6 ,26.4 ,35 ,154.2 ,35 ,154.2 
Graneros ,,36504 ,468 ,1282.1 ,3 ,8.2 ,17 ,46.6 ,17 ,46.6 
La Estrella ,,3114 ,36 ,1156.1 ,0 ,0.0 ,2 ,64.2 ,2 ,64.2 
Las Cabras ,& ,26749 ,211 ,788.8 ,6 ,22.4 ,18 ,67.3 ,18 ,67.3 
Litueche ,& ,6765 ,82 ,1212.1 ,2 ,29.6 ,6 ,88.7 ,6 ,88.7 
Lolol ,,7289 ,49 ,672.2 ,2 ,27.4 ,3 ,41.2 ,3 ,41.2 
Machali ,& ,59913 ,986 ,1645.7 ,11 ,18.4 ,52 ,86.8 ,52 ,86.8 
Malloa ,,14163 ,129 ,910.8 ,5 ,35.3 ,20 ,141.2 ,20 ,141.2 
Marchihue ,,7632 ,29 ,380.0 ,O ,0.0 ,3 ,39.3 ,3 ,39.3 
Mostazal ,,27462 ,253 ,921.3 ,5 ,18.2 ,25 ,91.0 ,25 ,91.0 
Nancagua ,,19141 ,96 ,501.5 ,3 ,15.7 ,6 ,31.3 ,6 ,31.3 
Navidad ,& ,6904 ,76 ,1100.8 ,1 ,14.5 ,3 ,43.5 ,3 ,43.5 
Olivar ,& ,14624 ,207 ,1415.5 ,4 ,27.4 ,19 ,129.9 ,19 ,129.9 
Palmilla ,,13299 ,46 ,345.9 ,3 ,22.6 ,7 ,52.6 ,7 ,52.6 
Paredones ,,6349 ,24 ,378.0 ,1 ,15.8 ,4 ,63.0 ,4 ,63.0 
Peralillo ,,11848 ,59 ,498.0 ,1 ,8.4 ,6 ,50.6 ,6 ,50.6 
