Machali,&OO141,O4,O559,18,24,3656,106,225,195,120,6254,3229O
Malloa ,O O O O O ,O O ,O O O 1 ,3 ,3 ,4 6 ,11 ,15 ,17 ,10 ,14 23 ,17 5 O 
Marchihue ,O O O O O ,O O ,O O O O ,O ,2 ,3 O ,5 ,3 ,1 ,4 ,2 5 ,2 2 O 
Mostazal ,O O O O O ,O O ,O O 3 4 ,6 ,15 ,21 28 ,23 ,25 ,40 ,31 ,18 14 ,11 14 O 
Nancagua ,O O O O O ,O 0 ,O O 1 2 ,11 ,5 ,9 7 ,12 ,8 ,7 ,13 ,10 5 ,3 3 O 
Navidad ,& O O O O O ,O 0 ,O 3 O 6 ,2 ,6 ,1 11 ,12 ,9 ,8 ,9 ,3 3 ,1 2 O 
Olivar ,& O O O O 1 ,2 3 ,1 O O 7 ,4 ,13 ,5 12 ,16 ,28 ,34 ,36 ,17 9 ,14 5 O 
Palmilla ,O O O O O ,O O ,O 1 O O ,2 ,3 ,1 5 ,7 ,4 ,3 ,2 ,8 3 ,3 4 O 
Paredones ,O O O O O ,O O ,O O O O ,2 ,2 ,1 3 ,3 ,1 ,O ,3 ,1 4 ,2 2 O 
Peralillo ,0 0 O O O ,0 0 ,O O O 0 ,2 ,7 ,7 12 ,11 ,1 ,5 ,4 ,2 2 ,3 3 O 
Peumo ,& O O O O 1 ,O O ,O O 2 3 ,2 ,2 ,2 1 ,2 ,6 ,6 ,2 ,14 20 ,5 3 O 
Pichidegua ,& O O O O O ,O O ,O O 1 3 ,8 ,3 ,3 7 ,9 ,15 ,25 ,30 ,21 15 ,21 5 O 
Pichilemu ,O 0 0 O 0 ,0 0 ,O 0 2 2 ,4 ,7 ,4 2 ,6 ,6 ,4 ,O ,12 4 ,1 O O 
Placilla ,O O O O 1 ,O 0 ,O O O 1 ,4 ,3 ,6 10 ,3 ,2 ,7 ,11 ,7 6 ,3 0 O 
Pumanque ,O O O O O ,O O ,O O O O ,O ,O ,2 O ,1 ,1 ,O ,O ,O O ,O O O 
Quinta de Tilcoco ,& O 0O O 1 O ,O O ,O O O O ,1 ,1 ,4 2 ,10 ,16 ,20 ,15 ,12 16 ,10 4 O 
Rancagua ,& 0 O O 9 4 ,7 3 ,9 13 27 89 ,177 ,225 ,282 428 ,657 ,1102 ,933 ,694 ,493 281 ,159 68 O 
Rengo ,& O O O 1 3 ,O O ,4 5 3 8 ,19 ,29 ,27 48 ,71 ,122 ,141 ,133 ,186 116 ,68 12 O 
Requinoa ,& O O O 2 O ,O O ,O 2 1 4 ,5 ,13 ,22 16 ,41 ,78 ,60 ,54 ,45 24 ,19 15 O 
San Fernando ,& O O O 2 1 ,1 O ,2 O 2 8 ,9 ,23 ,16 22 ,28 ,55 ,59 ,50 ,61 55 ,53 25 O 
San Vicente ,O O O O 3 ,1 O ,O 3 3 16 ,27 ,17 ,14 24 ,37 ,58 ,52 ,51 ,55 55 ,44 15 O 
Santa Cruz ,& O O O O 1 ,O O ,1 1 O 5 ,4 ,10 ,7 18 ,21 ,16 ,20 ,22 ,24 13 ,19 25 O 
Desconocido ,& O O O O O ,O 2 ,O O O 1 ,2 ,12 ,O 8 ,4 ,12 ,12 ,4 ,19 3 ,7 15 O 
