Pelluhue,OOO1OO,1,OOO1,7,1,912,15,10,O,3,1,251O
Pencahue ,O O O O O O ,O ,3 O O O ,O ,8 ,4 2 ,7 ,3 ,5 ,11 ,8 ,3 2 1 O 
Rauco ,O O O O 1 1 ,O ,1 O O 1 ,1 ,7 ,7 7 ,15 ,3 ,10 ,8 ,17 ,17 8 5 O 
Retiro ,O O O O O O ,1 ,O O 1 O ,1 ,17 ,42 14 ,18 ,12 ,12 ,12 ,2 ,2 8 5 O 
Rio Claro ,O O O 2 O 1 ,1 ,3 2 O 2 ,2 ,2 ,8 3 ,4 ,13 ,13 ,18 ,2 ,4 14 6 O 
Romeral ,O O O 1 2 O ,O ,10 O O O ,8 ,13 ,20 23 ,35 ,58 ,34 ,13 ,7 ,15 16 10 O 
Sagrada Familia ,O O O O O 1 ,O ,1 O 1 1 ,O ,3 ,7 17 ,8 ,10 ,9 ,11 ,9 ,7 5 5 O 
San Clemente ,O 1 O O O 1 ,2 ,7 1 7 7 ,14 ,18 ,21 39 ,43 ,57 ,87 ,78 ,58 ,47 21 13 O 
San Javier ,O O O 1 2 7 ,4 ,7 4 3 7 ,8 ,9 ,22 53 ,41 ,42 ,30 ,46 ,54 ,48 73 18 O 
San Rafael ,O 0 O O 1 O ,1 ,1 O O 5 ,10 ,28 ,7 17 ,8 ,11 ,14 ,12 ,6 ,3 3 1 O 
Talca & ,O 3 9 13 19 11 ,15 ,73 18 13 22 ,53 ,74 ,83 169 ,208 ,268 ,249 ,224 ,140 ,120 102 51 O 
Teno & ,O O O 1 O O ,1 ,1 1 3 3 ,3 ,4 ,7 11 ,32 ,30 ,30 ,36 ,24 ,27 40 12 O 
Vichuquen ,O O O O O O ,O ,O O O O ,O ,O ,O O ,O ,O ,O ,1 ,1 ,4 O O O 
Villa Alegre ,O O O O 0 O ,1 ,1 O O 1 ,2 ,O ,9 18 ,9 ,11 ,15 ,23 ,12 ,29 10 2 O 
Yerbas Buenas ,O O O O O O ,1 ,O 2 O 4 ,9 ,12 ,23 13 ,15 ,10 ,7 ,2 ,9 ,12 5 8 O 
Desconocido & ,O O O 1 O O ,O ,O 1 O O ,1 ,O ,2 3 ,7 ,10 ,5 ,O ,2 ,3 5 2 O 
,,,,,,,,,,,,
,,,,,,,,,,,,
