Comuna,SE,SESE,SE,SESE,SE,SESESE,SESE,SE,SE,SE,SESE,SE,SE,SESE,SE,SESE
,9 ,10 11 ,12 ,13 14 ,15 ,16 17 18 ,19 20 ,21 ,22 ,23 ,24 25 ,26 ,27 ,28 29 ,30 ,31 32 
Bulnes ,& O ,O O ,9 ,27 10 ,7 ,8 8 9 ,25 44 ,26 ,19 ,19 ,16 19 ,14 ,29 ,36 20 ,32 ,21 O 
Chillan ,& O ,1 28 ,120 ,117 75 ,33 ,25 17 16 ,20 67 ,59 ,68 ,114 ,125 174 ,141 ,176 ,178 104 ,73 ,34 O 
Chillan Viejo ,O ,O 5 ,7 ,19 7 ,14 ,3 1 1 ,4 15 ,22 ,12 ,27 ,21 26 ,21 ,27 ,29 22 ,5 ,3 O 
Cobquecura ,O ,0 O ,0 ,O 0 ,O ,0 O 0 ,0 O ,0 ,O ,O ,0 O ,O ,0 ,1 O ,1 ,O 0 
Coelemu ,O ,O O ,O ,2 2 ,O ,O O O ,O 2 ,6 ,10 ,8 ,9 18 ,4 ,1 ,9 1 ,5 ,3 O 
Coihueco ,O ,0 O ,2 ,3 4 ,6 ,12 12 3 ,1 8 ,1 ,1 ,5 ,12 18 ,11 ,31 ,41 23 ,11 ,6 O 
EI Carmen ,O ,O O ,2 ,O 1 ,O ,O O O ,1 3 ,8 ,15 ,4 ,15 11 ,7 ,7 ,16 2 ,5 ,6 0 
Ninhue ,O ,0 O ,O ,O 2 ,O ,2 0 O ,O 1 ,3 ,2 ,2 ,7 7 ,11 ,4 ,2 1 ,5 ,1 O 
Niquen ,O ,O O ,1 ,O 1 ,2 ,O O 1 ,O 5 ,3 ,11 ,17 ,18 5 ,5 ,1 ,4 8 ,6 ,3 O 
Pemuco ,O ,O O ,1 ,O 4 ,1 ,O O O ,3 1 ,2 ,5 ,5 ,20 33 ,4 ,9 ,11 3 ,1 ,O O 
Pinto ,O ,O O ,2 ,3 5 ,1 ,1 O O ,O 3 ,O ,2 ,1 ,4 8 ,9 ,4 ,16 5 ,3 ,1 O 
Portezuelo ,O ,O O ,O ,O O ,O ,O O O ,1 4 ,2 ,O ,O ,O 4 ,O ,1 ,5 4 ,O ,O O 
Quillon ,O ,O O ,8 ,8 8 ,1 ,O 2 2 ,2 9 ,6 ,13 ,25 ,20 15 ,7 ,15 ,30 3 ,7 ,3 O 
Quirihue ,O ,0 O ,O ,1 2 ,O ,1 O 1 ,7 4 ,1 ,5 ,1 ,1 9 ,10 ,5 ,13 1 ,5 ,3 O 
Ranquil ,O ,O O ,1 ,3 6 ,O ,O O O ,1 O ,O ,O ,1 ,4 6 ,2 ,O ,6 6 ,5 ,O O 
San Carlos ,& O ,O 2 ,5 ,11 9 ,3 ,3 3 3 ,7 7 ,13 ,29 ,61 ,91 56 ,46 ,61 ,40 30 ,16 ,2 O 
San Fabian ,O ,O O ,3 ,3 1 ,O ,1 O O ,O O ,1 ,O ,O ,O O ,O ,O ,3 1 ,1 ,1 O 
San Ignacio ,O ,O O ,2 ,3 1 ,O ,1 3 3 ,1 2 ,6 ,8 ,9 ,52 32 ,6 ,6 ,16 18 ,5 ,3 O 
San Nicolas ,O ,O O ,2 ,6 5 ,4 ,O O O ,2 3 ,9 ,8 ,10 ,5 3 ,10 ,15 ,22 7 ,6 ,8 O 
Treguaco ,O ,O O ,O ,O O ,O ,O O O ,O 1 ,O ,O ,1 ,O 1 ,1 ,O ,1 1 ,2 ,O O 
Yungay ,O ,0 O ,3 ,16 21 ,3 ,4 6 2 ,2 2 ,O ,6 ,2 ,5 11 ,14 ,4 ,13 6 ,15 ,1 O 
Desconocido ,& O ,O O ,O ,O O ,O ,O O O ,O O ,O ,O ,O ,O O ,O ,O ,1 O ,O ,O O 
,,,,,,,,,,,,,,,,
