Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,173 ,2553.5 ,0 ,0.0 ,1 ,14.8 ,1 ,14.8 
Antuco ,4306 ,62 ,1439.9 ,1 ,23.2 ,6 ,139.3 ,6 ,139.3 
Arauco ,& 38679 ,401 ,1036.7 ,3 ,7.8 ,67 ,173.2 ,67 ,173.2 
Cabrero ,30725 ,153 ,498.0 ,2 ,6.5 ,8 ,26.0 ,8 ,26.0 
Canete ,& 37003 ,122 ,329.7 ,0 ,0.0 ,36 ,97.3 ,36 ,97.3 
Chiguayante ,& 91180 ,612 ,671.2 ,11 ,12.1 ,79 ,86.6 ,79 ,86.6 
Concepcion ,& 238092 ,1850 ,777.0 ,29 ,12.2 ,211 ,88.6 ,211 ,88.6 
Contulmo ,6330 ,46 ,726.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Coronel ,& 125829 ,1419 ,1127.7 ,6 ,4.8 ,147 ,116.8 ,146 ,116.0 
Curanilahue ,& 33892 ,205 ,604.9 ,1 ,3.0 ,26 ,76.7 ,26 ,76.7 
Florida ,11841 ,60 ,506.7 ,3 ,25.3 ,9 ,76.0 ,9 ,76.0 
Hualpen ,& 97273 ,801 ,823.5 ,7 ,7.2 ,88 ,90.5 ,87 ,89.4 
Hualqui ,26201 ,230 ,877.8 ,3 ,11.4 ,29 ,110.7 ,29 ,110.7 
Laja ,23873 ,186 ,779.1 ,0 ,0.0 ,20 ,83.8 ,20 ,83.8 
Lebu ,27100 ,44 ,162.4 ,0 ,0.0 ,5 ,18.5 ,5 ,18.5 
Los Alamos ,22524 ,140 ,621.6 ,0 ,0.0 ,18 ,79.9 ,18 ,79.9 
Los Angeles ,& 218515 ,1215 ,556.0 ,9 ,4.1 ,118 ,54.0 ,118 ,54.0 
Lota ,45750 ,455 ,994.5 ,2 ,4.4 ,65 ,142.1 ,65 ,142.1 
Mulchen ,31041 ,133 ,428.5 ,0 ,0.0 ,4 ,12.9 ,4 ,12.9 
Nacimiento ,27944 ,166 ,594.0 ,4 ,14.3 ,3 ,10.7 ,3 ,10.7 
Negrete ,10429 ,132 ,1265.7 ,2 ,19.2 ,3 ,28.8 ,3 ,28.8 
