,SESESE,SE,SE,SESE,SE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
Comuna ,9 10 11 ,12 ,13 ,14 15 ,16 ,17 18 ,19 ,20 ,21 22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 32 
Alto Biobio ,O O O ,O ,O ,O O ,O ,O O ,O ,7 ,43 51 ,27 ,11 ,10 ,2 ,7 ,11 ,2 ,1 ,1 O 
Antuco ,O O O ,O ,O ,O O ,O ,O O ,2 ,2 ,2 13 ,2 ,5 ,14 ,4 ,5 ,5 ,1 ,7 ,0 0 
Arauco ,& O O 1 ,2 ,2 ,1 O ,O ,O 5 ,4 ,14 ,17 24 ,22 ,34 ,65 ,62 ,29 ,12 ,32 ,44 ,31 O 
Cabrero ,O O O ,1 ,O ,4 3 ,7 ,1 3 ,4 ,2 ,3 3 ,8 ,24 ,35 ,14 ,11 ,11 ,11 ,1 ,7 O 
Cafete ,& 0 0 0 ,O ,0 ,O O ,O ,O O ,O ,1 ,9 4 ,7 ,1 ,7 ,4 ,3 ,12 ,33 ,35 ,6 O 
Chiguayante ,& O O 5 ,5 ,9 ,16 12 ,10 ,13 8 ,7 ,9 ,9 27 ,40 ,59 ,52 ,51 ,60 ,72 ,63 ,66 ,19 O 
Concepcion ,& 1 1 7 ,28 ,31 ,23 23 ,18 ,14 20 ,19 ,21 ,92 98 ,136 ,252 ,253 ,167 ,128 ,135 ,155 ,141 ,87 O 
Contulmo ,O O O ,O ,O ,O O ,O ,0 O ,O ,O ,1 1 ,O ,O ,11 ,27 ,3 ,O ,2 ,1 ,O O 
Coronel ,& 0 O 1 ,6 ,7 ,4 1 ,O ,5 2 ,13 ,16 ,50 132 ,110 ,155 ,225 ,170 ,148 ,101 ,114 ,112 ,47 O 
Curanilahue ,& O O O ,1 ,O ,O O ,O ,O 1 ,3 ,O ,2 4 ,12 ,9 ,17 ,19 ,25 ,46 ,37 ,22 ,7 O 
Florida ,O O O ,O ,2 ,1 O ,O ,O O ,2 ,O ,2 O ,O ,7 ,7 ,11 ,2 ,4 ,6 ,16 ,O O 
Hualpen ,& O O 3 ,23 ,33 ,27 17 ,8 ,2 6 ,11 ,9 ,17 31 ,26 ,74 ,87 ,107 ,72 ,84 ,70 ,71 ,23 O 
Hualqui ,O 0 1 ,1 ,2 ,3 4 ,9 ,0 1 ,2 ,5 ,12 7 ,13 ,17 ,38 ,30 ,15 ,15 ,25 ,12 ,18 O 
Laja ,O 1 1 ,O ,3 ,1 1 ,1 ,5 1 ,17 ,20 ,8 7 ,6 ,10 ,15 ,20 ,18 ,17 ,14 ,15 ,5 O 
Lebu ,O 0 O ,O ,O ,O O ,O ,O 1 ,1 ,O ,O 6 ,6 ,5 ,8 ,3 ,O ,2 ,7 ,4 ,1 O 
Los Alamos ,O 0 O ,O ,O ,O 1 ,O ,O 1 ,O ,1 ,O 3 ,4 ,4 ,38 ,28 ,14 ,11 ,16 ,15 ,4 O 
Los Angeles ,& O O 3 ,6 ,9 ,6 5 ,4 ,0 4 ,32 ,64 ,89 78 ,87 ,89 ,136 ,160 ,115 ,99 ,103 ,79 ,47 O 
Lota ,O O O ,1 ,O ,1 O ,O ,0 1 ,16 ,10 ,15 21 ,23 ,44 ,67 ,63 ,56 ,37 ,32 ,38 ,30 O 
Mulchen ,O O O ,1 ,4 ,O O ,O ,0 2 ,3 ,1 ,1 11 ,3 ,3 ,12 ,27 ,26 ,26 ,8 ,2 ,3 O 
Nacimiento ,O O O ,2 ,3 ,3 2 ,O ,1 3 ,8 ,4 ,8 7 ,6 ,20 ,30 ,28 ,17 ,15 ,5 ,4 ,O O 
Negrete ,O O O ,O ,O ,2 O ,O ,O O ,7 ,12 ,10 9 ,12 ,21 ,15 ,17 ,6 ,12 ,4 ,5 ,O O 
Penco ,& O O O ,1 ,4 ,3 3 ,9 ,O 3 ,2 ,2 ,10 14 ,43 ,74 ,50 ,52 ,46 ,39 ,56 ,67 ,20 O 
Quilaco ,O 0 O ,O ,O ,O O ,O ,O O ,O ,O ,O 2 ,3 ,1 ,1 ,5 ,O ,1 ,3 ,3 ,1 O 
Quilleco ,O O O ,O ,O ,O O ,O ,O O ,O ,O ,1 2 ,2 ,2 ,1 ,8 ,12 ,10 ,6 ,6 ,11 O 
San Pedro de la Paz ,O O 6 ,35 ,17 ,23 8 ,11 ,4 3 ,14 ,14 ,39 63 ,67 ,97 ,114 ,79 ,96 ,74 ,80 ,83 ,49 O 
,,,,,,,,,,,,,,,,,,
San Rosendo ,0 0 0 ,0 ,0 ,0 0 ,0 ,0 0 ,1 ,1 ,O 2 ,2 ,O ,8 ,8 ,6 ,5 ,1 ,1 ,0 0 
