,SESESESE,SE,SESE,SESE,SESESE,SE,SE,SESE,SE,SE,SE,SESE,SE,SE,SE
Comuna ,9 10 11 12 ,13 ,14 15 ,16 17 ,18 19 20 ,21 ,22 ,23 24 ,25 ,26 ,27 ,28 29 ,30 ,31 ,32 
Ancud ,O O O O ,1 ,O 6 ,3 1 ,21 19 23 ,10 ,2 ,4 3 ,1 ,6 ,O ,2 5 ,4 ,1 ,O 
Calbuco ,O O O 3 ,1 ,1 1 ,1 O ,0 1 O ,O ,1 ,O 4 ,20 ,44 ,30 ,41 22 ,20 ,10 ,O 
Castro ,O O O 2 ,O ,5 O ,O O ,O 1 O ,O ,O ,O 1 ,O ,O ,O ,O 1 ,14 ,4 ,O 
Chaiten ,O O O O ,1 ,O O ,O O ,O O O ,O ,O ,O O ,O ,O ,1 ,8 1 ,O ,1 ,O 
Chonchi ,O O O O ,O ,O O ,O O ,O O O ,O ,O ,O O ,O ,1 ,O ,O O ,O ,O ,O 
Cochamo ,& O O O O ,O ,O 1 ,O O ,O O O ,O ,O ,O O ,1 ,6 ,O ,3 6 ,1 ,1 ,O 
Curaco de Velez ,O 0 O O ,O ,O O ,O O ,O O O ,O ,O ,O 1 ,O ,12 ,2 ,3 O ,O ,O ,O 
Dalcahue ,O O O O ,O ,O O ,O O ,O 1 3 ,2 ,O ,O 1 ,O ,O ,O ,O O ,O ,1 ,O 
Fresia ,O O O O ,O ,O O ,O O ,O O O ,O ,O ,O 7 ,1 ,8 ,9 ,3 4 ,14 ,15 ,O 
Frutillar ,O O O O ,1 ,3 2 ,O O ,O 1 O ,3 ,3 ,3 7 ,20 ,26 ,53 ,18 8 ,14 ,14 ,O 
Futaleufu ,O O O O ,O ,O O ,O O ,O O 1 ,O ,O ,O O ,O ,O ,O ,O O ,O ,O ,O 
Hualaihue ,O O O O ,3 ,O O ,O O ,O O O ,O ,1 ,1 1 ,3 ,2 ,2 ,1 6 ,O ,O ,O 
Llanquihue ,& O 0 0 O ,1 ,O O ,O O ,O 5 O ,O ,3 ,3 11 ,18 ,9 ,16 ,6 9 ,36 ,14 ,O 
Los Muermos ,O O O 1 ,O ,O O ,O O ,O 1 O ,O ,O ,1 1 ,13 ,7 ,12 ,5 7 ,12 ,3 ,O 
Maullin ,& 0 O O O ,O ,O 1 ,O O ,O O 5 ,9 ,O ,1 O ,2 ,3 ,10 ,14 14 ,12 ,13 ,O 
Osorno ,& O O 4 59 ,104 ,64 36 ,18 15 ,24 17 8 ,21 ,33 ,42 34 ,27 ,12 ,31 ,45 62 ,70 ,65 ,O 
Palena ,O O O O ,O ,O O ,O O ,O O O ,O ,O ,O O ,O ,O ,O ,O O ,O ,0 ,O 
Puerto Montt ,& O 1 2 14 ,18 ,11 3 ,5 2 ,1 9 19 ,60 ,65 ,76 111 ,122 ,155 ,219 ,287 313 ,441 ,187 ,O 
Puerto Octay ,O O O 1 ,O ,O O ,1 1 ,O 2 O ,O ,O ,O O ,1 ,3 ,O ,O O ,3 ,7 ,O 
Puerto Varas ,O O 1 O ,3 ,3 2 ,O O ,1 1 4 ,7 ,8 ,21 10 ,10 ,17 ,8 ,13 19 ,21 ,18 ,O 
Puqueldon ,O O O O ,O ,O O ,O O ,O O O ,O ,O ,O O ,O ,O ,O ,O O ,O ,O ,O 
Purranque ,O O O O ,3 ,12 5 ,1 4 ,6 1 6 ,13 ,23 ,2 O ,2 ,1 ,5 ,O 7 ,O ,6 ,O 
Puyehue ,& O O O 1 ,1 ,1 1 ,1 1 ,2 O 1 ,O ,1 ,1 2 ,O ,O ,3 ,4 2 ,2 ,4 ,O 
Queilen ,O O O O ,O ,O O ,O O ,O O O ,O ,O ,O O ,O ,O ,O ,O O ,O ,O ,O 
Quellon ,O O O O ,O ,O O ,O O ,O O O ,O ,O ,O 1 ,3 ,O ,1 ,O 1 ,1 ,O ,O 
,,,,,,,,,,,,,,,
Quemch ,0 0 O 0 ,O ,O O ,0 O ,0 0 2 ,5 ,7 ,O O ,O ,0 ,O ,O O ,O ,0 ,0 
