Comuna,SE,SESE,SE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE,SE
,9 ,10 11 ,12 ,13 ,14 ,15 16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 31 ,32 
Aisen ,0 ,0 1 ,O ,O ,O ,0 O ,O ,O ,O ,O ,1 ,2 ,O ,2 ,5 ,3 ,3 ,11 ,9 ,5 3 ,O 
Chile Chico ,0 ,0 O ,O ,O ,1 ,0 0 ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,0 ,O O ,0 
Cisnes ,O ,O O ,O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O ,O 
Cochrane ,O ,0 O ,O ,O ,O ,0 O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O ,O 
Coyhaique ,0 ,0 1 ,O ,0 ,1 ,0 0 ,0 ,O ,1 ,O ,4 ,3 ,3 ,2 ,4 ,9 ,0 ,2 ,0 ,2 4 ,0 
Guaitecas ,O ,O O ,O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O ,O 
Lago Verde ,O ,O O ,O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O ,O 
O'Higgins ,O ,0 O ,O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,0 ,0 ,O O ,O 
Rio Ibanez ,O ,O O ,O ,O ,O ,0 O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O ,O 
Tortel ,O ,O O ,O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O ,O 
Desconocido ,O ,O 1 ,O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O ,O 
Total ,0 ,0 3 ,0 ,O ,2 ,0 0 ,0 ,0 ,1 ,0 ,5 ,5 ,3 ,4 ,9 ,12 ,3 ,13 ,9 ,7 7 ,0 
