,SinHospitalizacion,,Hospitalizados,
Comorbilidades ,N ,% ,NO ,% 
Hipertension arterial ,42006 ,11.8 ,8907 ,33.1 
Diabetes ,20658 ,5.8 ,5538 ,20.6 
Obesidad ,10766 ,3.0 ,1908 ,7.1 
Asma ,10020 ,2.8 ,882 ,3.3 
Enfermedad cardiovascular ,2612 ,0.7 ,1179 ,4.4 
Enfermedad pulmonar cronica ,2427 ,0.7 ,1139 ,4.2 
Cardiopatia cronica ,2112 ,0.6 ,1187 ,4.4 
Enfermedad renal cronica ,1888 ,0.5 ,1237 ,4.6 
Enfermedad neurologica cronica ,1330 ,0.4 ,809 ,3.0 
Inmunocomprometido ,1691 ,0.5 ,760 ,2.8 
Enfermedad hepatica cronica ,317 ,0.1 ,329 ,1.2 
