,,Semana,del18,al24,,,Semana,del25al31,deJulio,
Region ,Confirmados ,Probables ,Casos Totales ,Casos investigados en menos 48 hrs ,%de casos Investigados (debe ser mayor 90%) ,Confirmados ,Probables ,Casos Totales ,Casos investigados en menos de 48 hrs ,%de casos Investigados (debe ser mayor 90%) 
Arica Parinacota ,621 ,32 ,653 ,503 ,77% ,716 ,33 ,749 ,695 ,93% 
Tarapaca ,522 ,5 ,527 ,477 ,91% ,721 ,40 ,761 ,677 ,89% 
Antofagasta ,900 ,24 ,924 ,693 ,75% ,944 ,0 ,944 ,663 ,70% 
Atacama ,292 ,- ,292 ,292 ,100% ,637 ,0 ,637 ,635 ,100% 
Coquimbo ,726 ,54 ,780 ,735 ,94% ,969 ,11 ,980 ,835 ,85% 
Valparaiso ,1069 ,445 ,1514 ,1260 ,83% ,1104 ,165 ,1269 ,1091 ,86% 
Metropolitana ,6015 ,142 ,6157 ,4895 ,80% ,5428 ,94 ,5522 ,4443 ,80% 
O'Higgins ,730 ,104 ,834 ,821 ,98% ,632 ,O ,632 ,572 ,91% 
Maule ,725 ,4 ,729 ,701 ,96% ,641 ,0 ,641 ,596 ,93% 
Nuble ,156 ,108 ,264 ,264 ,100% ,180 ,4 ,184 ,184 ,100% 
Biobio ,993 ,20 ,1013 ,965 ,95% ,1039 ,1 ,1040 ,1025 ,99% 
Araucania ,213 ,31 ,244 ,244 ,100% ,281 ,0 ,281 ,281 ,100% 
Los Rios ,34 ,- ,34 ,34 ,100% ,44 ,0 ,44 ,44 ,100% 
LOs Lagos ,467 ,3 ,470 ,452 ,96% ,715 ,19 ,734 ,619 ,84% 
Aysen ,1 ,- ,1 ,1 ,100% ,10 ,0 ,10 ,10 ,100% 
Magallanes ,31 ,2 ,33 ,33 ,100% ,131 ,0 ,131 ,131 ,100% 
Total ,13495 ,974 ,14469 ,12370 ,85% ,14192 ,367 ,14559 ,12501 ,86% 
