Region,CasosTotales,Numerodecasosqueprovienedeloscontactosestrechos,%deCasosqueprovienedecontactoestrecho(debesersobre60%),CasosTotales,Numerodecasosqueprovienedeloscontactosestrechos,%deCasosqueprovienedecontactoestrecho(debesersobre60%)
Arica - Parinacota ,653 ,377 ,58% ,749 ,470 ,63% 
Tarapaca ,527 ,256 ,49% ,761 ,452 ,59% 
Antofagasta ,924 ,287 ,31% ,944 ,370 ,39% 
Atacama ,292 ,192 ,66% ,637 ,446 ,70% 
Coquimbo ,780 ,480 ,62% ,980 ,479 ,49% 
Valparaiso ,1514 ,1046 ,69% ,1269 ,774 ,61% 
Metropolitana ,6157 ,5375 ,87% ,5522 ,3478 ,63% 
O'Higgins ,834 ,574 ,69% ,632 ,385 ,61% 
Maule ,729 ,464 ,64% ,641 ,405 ,63% 
Nuble ,264 ,127 ,48% ,184 ,101 ,55% 
Biobio ,1013 ,671 ,66% ,1040 ,725 ,70% 
Araucania ,244 ,150 ,61% ,281 ,220 ,78% 
Los Rios ,34 ,25 ,74% ,44 ,42 ,95% 
Los Lagos ,470 ,402 ,86% ,734 ,494 ,67% 
Aysen ,1 ,1 ,100% ,10 ,9 ,90% 
Magallanes ,33 ,23 ,70% ,131 ,74 ,56% 
,,,,,,
