ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,4947 ,1962.2 ,876 ,347.5 
Region de Tarapaca ,382773 ,9147 ,2389.7 ,886 ,231.5 
Region de Antofagasta ,691854 ,15841 ,2289.6 ,1151 ,166.4 
Region de Atacama ,314709 ,3071 ,975.8 ,829 ,263.4 
Region de Coquimbo ,836096 ,7376 ,882.2 ,1083 ,129.5 
Region de Valparaiso ,1960170 ,23326 ,1190.0 ,1562 ,79.7 
Region Metropolitana de Santiago ,8125072 ,285779 ,3517.2 ,6865 ,84.5 
Region del Libertador General Bernardo OHiggins ,991063 ,12835 ,1295.1 ,861 ,86.9 
Region del Maule ,1131939 ,9989 ,882.5 ,932 ,82.3 
Region del Nuble ,511551 ,4438 ,867.6 ,281 ,54.9 
Region del Biobio ,1663696 ,12825 ,770.9 ,1533 ,92.1 
Region de la Araucania ,1014343 ,4217 ,415.7 ,326 ,32.1 
Region de LOs Rios ,405835 ,958 ,236.1 ,64 ,15.8 
Region de Los Lagos ,891440 ,4388 ,492.2 ,991 ,111.2 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,83 ,77.4 ,14 ,13.0 
Region de Magallanes y la Antartica Chilena ,178362 ,1860 ,1042.8 ,176 ,98.7 
Desconocido ,- ,62 ,- ,1 ,- 
Total pais ,19458310 ,401142 ,2061.5 ,18431 ,94.7 
