Comuna,Proporcion,decasosinvestigadosantesde,nuevos48h,Proporcioninvestigados,decontactosantesde,nuevos48h
,Casos nuevos ,Investigados ,% ,Contactos nuevos ,Investigados ,% 
Aisen ,5 ,5 ,1000 ,19 ,19 ,1000 
Chile Chico ,- ,- ,- ,- ,- ,- 
Cisnes ,- ,- ,- ,- ,- ,- 
Cochrane ,- ,- ,- ,- ,- ,- 
Coyhaique ,- ,- ,- ,- ,- ,- 
Guaitecas ,1 ,1 ,1000 ,15 ,15 ,1000 
Lago Verde ,- ,- ,- ,- ,- ,- 
O'Higgins ,- ,- ,- ,- ,- ,- 
Rio Ibanez ,- ,- ,- ,- ,- ,- 
Tortel ,- ,- ,- ,- ,- ,- 
Total ,6 ,6 ,1000 ,34 ,34 ,1000 
