Region,Casostotales,Numerodecasosqueprovienedeloscontactosestrechos,%decasosqueprovienedecontactoestrecho(debesersobre60%)
Arica Parinacota ,599 ,380 ,634 
Tarapaca ,499 ,291 ,583 
Antofagasta ,785 ,450 ,573 
Atacama ,808 ,557 ,689 
Coquimbo ,845 ,633 ,749 
Valparaiso ,1.236 ,715 ,578 
Metropolitana ,4.869 ,3.914 ,804 
O'Higgins ,775 ,161 ,208 
Maule ,604 ,354 ,586 
Nuble ,246 ,73 ,297 
Biobio ,1.083 ,746 ,689 
Araucania ,273 ,217 ,795 
Los Rios ,36 ,29 ,806 
Los Lagos ,706 ,535 ,758 
Aysen ,6 ,6 ,1000 
Magallanes ,190 ,117 ,616 
Total ,13991 ,8728 ,624 
