,SESESE,SESE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE,SESE
Comuna ,9 10 11 ,12 13 ,14 15 ,16 ,17 ,18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 31 ,32 33 
Antofagasta ,& O 1 2 ,27 32 ,40 59 ,110 ,161 ,216 315 ,313 ,305 ,356 ,505 ,601 ,706 ,795 ,916 ,770 ,571 ,554 622 ,319 O 
Calama ,& 1 O 2 ,3 3 ,9 18 ,17 ,40 ,54 92 ,236 ,285 ,445 ,814 ,995 ,922 ,741 ,657 ,452 ,341 ,263 199 ,112 0 
Maria Elena ,1 O O ,O O ,O 5 ,9 ,16 ,45 42 ,30 ,13 ,12 ,11 ,7 ,41 ,29 ,27 ,7 ,14 ,8 12 ,4 O 
Mejillones ,& O O O ,O 1 ,8 15 ,17 ,30 ,76 46 ,51 ,19 ,19 ,10 ,17 ,39 ,50 ,25 ,16 ,10 ,22 23 ,10 O 
Ollague ,O 0 O ,0 0 ,O 0 ,0 ,0 ,O O ,0 ,O ,O ,0 ,2 ,6 ,1 ,2 ,5 ,5 ,0 3 ,0 0 
Pedro de Atacama ,O O O ,2 1 ,1 O ,O ,1 ,O O ,2 ,4 ,4 ,18 ,21 ,33 ,35 ,35 ,36 ,45 ,20 19 ,14 O 
Sierra Gorda ,O O O ,O O ,O O ,0 ,O ,3 5 ,5 ,3 ,12 ,6 ,8 ,3 ,4 ,2 ,5 ,6 ,6 3 ,3 O 
Taltal ,O O O ,O O ,2 3 ,2 ,1 ,1 3 ,12 ,6 ,9 ,7 ,9 ,12 ,7 ,12 ,21 ,16 ,2 8 ,8 O 
Tocopilla ,O O O ,2 O ,4 5 ,O ,1 ,2 7 ,8 ,8 ,5 ,6 ,25 ,50 ,61 ,43 ,22 ,20 ,7 8 ,4 O 
Desconocido ,& O O O ,O O ,O O ,1 ,5 ,O 1 ,1 ,O ,O ,5 ,10 ,41 ,30 ,31 ,25 ,24 ,21 27 ,12 O 
,2 1 4 ,34 37 ,64 105 ,156 ,255 ,397 511 ,658 ,643 ,862 ,1382 ,1695 ,1853 ,1753 ,1750 ,1359 ,1052 ,903 924 ,486 0 
