,SESESESE,SE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
Comuna ,9 10 11 12 ,13 ,14 15 ,16 ,17 ,18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 
Algarrobo ,O O 1 4 ,4 ,O O ,O ,2 ,4 6 ,13 ,10 ,7 ,19 ,19 ,8 ,6 ,2 ,3 ,2 ,O ,O ,O 
Cabildo ,& O O 0 O ,O ,0 0 ,O ,5 ,3 2 ,7 ,7 ,17 ,20 ,40 ,49 ,55 ,32 ,39 ,15 ,9 ,1 ,3 
Calera ,& O O O 1 ,6 ,3 4 ,7 ,2 ,2 7 ,19 ,21 ,23 ,51 ,60 ,83 ,86 ,100 ,97 ,105 ,86 ,65 ,59 
Calle Larga ,& 0 O O O ,1 ,1 3 ,1 ,O ,4 3 ,8 ,29 ,26 ,27 ,24 ,24 ,41 ,20 ,9 ,8 ,11 ,18 ,3 
Cartagena ,& 0 O O O ,O ,2 0 ,1 ,5 ,5 12 ,8 ,17 ,11 ,17 ,20 ,20 ,15 ,18 ,11 ,14 ,10 ,9 ,O 
Casablanca ,& O O O 2 ,O ,1 1 ,O ,O ,O 9 ,9 ,9 ,13 ,24 ,24 ,17 ,26 ,26 ,28 ,25 ,35 ,41 ,34 
Catemu ,O O O 1 ,O ,O O ,O ,O ,1 1 ,7 ,3 ,14 ,15 ,14 ,4 ,19 ,8 ,12 ,9 ,15 ,24 ,13 
Con Con ,& 0 O O 4 ,4 ,3 1 ,O ,11 ,6 9 ,16 ,19 ,28 ,53 ,45 ,53 ,81 ,75 ,57 ,31 ,15 ,17 ,10 
EI Quisco ,0 O O 1 ,O ,4 2 ,4 ,O ,5 9 ,14 ,15 ,15 ,19 ,11 ,8 ,12 ,23 ,9 ,12 ,8 ,6 ,7 
EI Tabo ,& O O O O ,5 ,O 2 ,3 ,3 ,4 7 ,6 ,16 ,26 ,19 ,20 ,23 ,33 ,18 ,9 ,9 ,26 ,18 ,3 
Hijuelas ,& O O O O ,O ,O 1 ,O ,O ,O O ,8 ,10 ,14 ,12 ,12 ,20 ,23 ,20 ,30 ,26 ,24 ,30 ,14 
Isla de Pascua ,0 O O 2 ,1 ,2 O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Juan Fernandez ,O O O O ,O ,O O ,O ,O ,O O ,O ,O ,0 ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
La Cruz ,& 0 1 O 1 ,2 ,3 1 ,O ,1 ,8 7 ,4 ,5 ,14 ,15 ,10 ,13 ,25 ,17 ,20 ,30 ,38 ,23 ,9 
La Ligua ,& 0 O 0 2 ,0 ,1 0 ,0 ,0 ,1 3 ,10 ,17 ,27 ,34 ,48 ,30 ,44 ,46 ,45 ,51 ,65 ,47 ,22 
Limache ,& 0 O 0 3 ,O ,5 9 ,6 ,1 ,7 25 ,33 ,25 ,36 ,85 ,99 ,104 ,86 ,94 ,63 ,57 ,42 ,50 ,49 
Llaillay ,0 O O 1 ,1 ,O 0 ,O ,1 ,3 5 ,30 ,23 ,26 ,33 ,22 ,33 ,28 ,31 ,49 ,21 ,24 ,25 ,14 
Los Andes ,& 0 O 0 2 ,3 ,0 4 ,0 ,2 ,10 21 ,57 ,85 ,94 ,142 ,111 ,109 ,99 ,87 ,64 ,66 ,52 ,25 ,20 
Nogales ,& 0 O O O ,O ,0 0 ,O ,O ,2 4 ,6 ,6 ,7 ,9 ,16 ,19 ,16 ,21 ,21 ,39 ,34 ,24 ,23 
Olmue ,& 0 O 0 0 ,O ,1 1 ,1 ,O ,O 2 ,5 ,11 ,7 ,15 ,22 ,15 ,10 ,21 ,17 ,18 ,16 ,17 ,22 
Panquehue ,O O O O ,0 ,O O ,O ,O ,O 4 ,5 ,6 ,4 ,15 ,6 ,10 ,8 ,9 ,17 ,23 ,10 ,O ,2 
Papudo ,O O 0 0 ,0 ,1 0 ,1 ,0 ,O O ,6 ,4 ,13 ,13 ,14 ,9 ,6 ,6 ,4 ,3 ,8 ,10 ,6 
Petorca ,& 0 O O 1 ,4 ,1 O ,O ,O ,O 1 ,4 ,5 ,9 ,4 ,5 ,13 ,10 ,10 ,8 ,9 ,9 ,16 ,7 
Puchuncavi ,& O O O O ,O ,O O ,O ,O ,O 4 ,11 ,6 ,8 ,30 ,25 ,24 ,18 ,14 ,11 ,6 ,9 ,9 ,4 
Putaendo ,& O O O 1 ,O ,O 1 ,3 ,2 ,2 7 ,7 ,7 ,15 ,30 ,27 ,28 ,26 ,21 ,18 ,6 ,17 ,14 ,8 
Quillota ,& 0 1 0 3 ,7 ,3 8 ,1 ,5 ,3 19 ,22 ,47 ,78 ,195 ,195 ,210 ,203 ,219 ,141 ,114 ,122 ,97 ,53 
