Quilpue,&0134,9,646,12,1946,77,79,110,157,154,221,179,197,142,110,83,74,59O
Quintero ,& O O O 2 ,1 ,1 O 6 ,2 ,3 24 ,23 ,29 ,44 ,50 ,41 ,44 ,40 ,24 ,36 ,34 ,21 ,6 ,2 O 
Rinconada ,O O O O ,O ,3 O O ,O ,O 2 ,15 ,18 ,15 ,19 ,20 ,20 ,15 ,14 ,13 ,11 ,8 ,O ,0 O 
Antonio ,& 0 O O O ,6 ,14 11 22 ,37 ,71 61 ,101 ,94 ,137 ,145 ,120 ,92 ,92 ,81 ,61 ,74 ,56 ,51 ,19 O 
Esteban ,& O O O O ,O ,O O 1 ,2 ,2 7 ,4 ,11 ,16 ,28 ,19 ,18 ,28 ,26 ,27 ,17 ,11 ,11 ,5 O 
Felipe ,& O O 0 3 ,3 ,2 O 1 ,2 ,6 19 ,60 ,70 ,117 ,182 ,174 ,108 ,135 ,85 ,60 ,40 ,21 ,73 ,63 O 
Santa Maria ,O O O O ,1 ,1 O O ,4 ,15 3 ,5 ,8 ,13 ,18 ,30 ,32 ,24 ,29 ,18 ,17 ,10 ,21 ,2 O 
Santo Domingo ,& O O 2 1 ,1 ,5 4 4 ,4 ,5 4 ,11 ,7 ,9 ,32 ,21 ,10 ,10 ,7 ,5 ,2 ,1 ,2 ,0 O 
Valparaiso ,& 0 1 2 11 ,14 ,13 21 17 ,26 ,85 118 ,151 ,235 ,315 ,490 ,531 ,500 ,376 ,318 ,337 ,315 ,288 ,287 ,152 0 
Alemana ,& O O 2 7 ,4 ,3 O 1 ,5 ,31 41 ,51 ,74 ,124 ,188 ,181 ,210 ,139 ,169 ,128 ,94 ,89 ,84 ,40 O 
del Mar ,& 1 O 5 23 ,28 ,23 13 21 ,25 ,80 142 ,200 ,236 ,306 ,408 ,388 ,448 ,418 ,364 ,273 ,263 ,214 ,229 ,142 0 
Zapallar ,O O O O ,O ,1 O O ,O ,O O ,1 ,O ,1 ,2 ,3 ,18 ,13 ,12 ,11 ,9 ,4 ,6 ,6 O 
Desconocido ,& 0 0 0 2 ,3 ,3 1 1 ,O ,O 11 ,8 ,6 ,37 ,27 ,37 ,58 ,46 ,52 ,26 ,23 ,17 ,14 ,26 0 
Total ,1 4 15 82 ,108 ,106 92 108 ,159 ,387 645 ,1022 ,1270 ,1776 ,2642 ,2608 ,2705 ,2491 ,2316 ,1919 ,1708 ,1508 ,1444 ,901 0 
