Comuna,SESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 10 11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 
Alhue ,O 0 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,5 ,1 ,4 ,9 ,15 ,25 ,13 ,18 ,32 ,28 ,18 ,21 ,15 ,12 ,0 
Buin ,& 0 0 O ,5 ,16 ,10 ,13 ,18 ,22 ,62 ,138 ,188 ,230 ,216 ,281 ,268 ,208 ,168 ,167 ,119 ,103 ,67 ,71 ,56 ,0 
Calera de Tango ,0 0 0 ,4 ,4 ,1 ,1 ,5 ,1 ,7 ,19 ,32 ,37 ,71 ,73 ,75 ,55 ,78 ,39 ,31 ,18 ,13 ,10 ,7 ,0 
Cerrillos ,& 1 3 1 ,4 ,11 ,13 ,21 ,21 ,67 ,228 ,206 ,279 ,317 ,279 ,346 ,343 ,240 ,182 ,159 ,88 ,91 ,95 ,59 ,18 ,0 
Cerro Navia ,& O 2 10 ,16 ,16 ,14 ,37 ,50 ,108 ,268 ,580 ,700 ,745 ,781 ,767 ,654 ,555 ,330 ,271 ,203 ,143 ,110 ,170 ,71 ,0 
Colina ,& 1 3 7 ,28 ,15 ,26 ,17 ,25 ,36 ,134 ,372 ,546 ,611 ,616 ,605 ,421 ,341 ,252 ,179 ,148 ,75 ,55 ,50 ,42 ,0 
Conchali ,& O 2 2 ,17 ,14 ,19 ,43 ,73 ,134 ,384 ,633 ,720 ,677 ,648 ,655 ,560 ,464 ,330 ,280 ,199 ,90 ,107 ,89 ,55 ,O 
Curacavi ,& 0 O 1 ,3 ,5 ,5 ,4 ,1 ,3 ,19 ,40 ,72 ,97 ,137 ,101 ,89 ,65 ,52 ,46 ,45 ,37 ,32 ,25 ,15 ,0 
EI Bosque ,& 0 O 1 ,14 ,23 ,32 ,48 ,49 ,88 ,227 ,402 ,554 ,545 ,748 ,838 ,736 ,565 ,479 ,379 ,247 ,207 ,135 ,104 ,43 ,0 
EI Monte ,& 0 O 1 ,1 ,1 ,7 ,4 ,3 ,7 ,16 ,40 ,75 ,141 ,101 ,127 ,130 ,153 ,101 ,100 ,69 ,32 ,44 ,40 ,21 ,0 
Estacion Central ,& O 2 3 ,12 ,28 ,34 ,42 ,81 ,169 ,379 ,575 ,676 ,687 ,748 ,695 ,562 ,444 ,318 ,221 ,202 ,125 ,95 ,79 ,38 ,0 
Huechuraba ,& 1 O 5 ,21 ,11 ,19 ,21 ,33 ,57 ,209 ,376 ,501 ,457 ,423 ,390 ,291 ,307 ,187 ,144 ,109 ,89 ,90 ,76 ,44 ,0 
Independencia ,& 0 0 4 ,16 ,10 ,26 ,50 ,146 ,308 ,570 ,793 ,785 ,780 ,732 ,570 ,444 ,334 ,216 ,198 ,166 ,113 ,82 ,93 ,55 ,0 
Isla de Maipo ,& 0 0 0 ,2 ,2 ,7 ,2 ,0 ,4 ,13 ,25 ,37 ,72 ,89 ,103 ,80 ,78 ,78 ,70 ,111 ,121 ,75 ,68 ,46 ,0 
La Cisterna ,& 0 O 3 ,11 ,13 ,18 ,19 ,28 ,63 ,122 ,243 ,328 ,317 ,431 ,401 ,310 ,281 ,186 ,122 ,121 ,55 ,65 ,49 ,36 ,0 
La Florida ,& 1 2 12 ,31 ,59 ,64 ,81 ,107 ,209 ,592 ,1045 ,1554 ,1736 ,1630 ,1673 ,1196 ,1074 ,812 ,515 ,406 ,272 ,249 ,190 ,116 ,0 
La Granja ,& O O 1 ,6 ,15 ,36 ,22 ,21 ,77 ,275 ,617 ,916 ,1028 ,802 ,813 ,643 ,528 ,357 ,351 ,189 ,97 ,102 ,66 ,43 ,O 
La Pintana ,& 1 1 4 ,10 ,21 ,35 ,51 ,96 ,163 ,358 ,784 ,947 ,1297 ,1434 ,1411 ,989 ,748 ,558 ,351 ,241 ,222 ,195 ,197 ,135 ,0 
La Reina ,& O O 12 ,17 ,13 ,18 ,8 ,14 ,41 ,75 ,125 ,223 ,307 ,254 ,246 ,223 ,185 ,131 ,115 ,71 ,48 ,34 ,43 ,17 ,0 
Lampa ,& 0 O 0 ,9 ,14 ,15 ,14 ,19 ,54 ,139 ,295 ,353 ,402 ,383 ,437 ,368 ,245 ,192 ,161 ,150 ,109 ,64 ,63 ,59 ,O 
Las Condes ,& 1 18 60 ,129 ,69 ,43 ,38 ,34 ,75 ,247 ,506 ,708 ,765 ,687 ,583 ,501 ,374 ,290 ,219 ,141 ,129 ,103 ,83 ,46 ,O 
Lo Barnechea ,& O 2 14 ,55 ,30 ,23 ,37 ,40 ,65 ,151 ,271 ,403 ,420 ,371 ,446 ,315 ,173 ,122 ,100 ,54 ,63 ,52 ,51 ,29 ,0 
Lo Espejo ,& O O 1 ,5 ,10 ,25 ,31 ,21 ,80 ,181 ,346 ,433 ,380 ,514 ,551 ,402 ,359 ,263 ,185 ,146 ,123 ,104 ,72 ,49 ,0 
Lo Prado ,& 0 O 3 ,6 ,21 ,17 ,23 ,32 ,105 ,196 ,355 ,504 ,513 ,629 ,534 ,495 ,406 ,250 ,201 ,206 ,159 ,70 ,105 ,65 ,O 
Macul ,& O 1 3 ,17 ,23 ,20 ,14 ,24 ,78 ,190 ,440 ,543 ,643 ,557 ,632 ,471 ,374 ,255 ,182 ,154 ,89 ,109 ,79 ,25 ,O 
Maipu ,& O 1 13 ,52 ,73 ,83 ,98 ,116 ,157 ,434 ,914 ,1373 ,1599 ,1697 ,1827 ,1601 ,1264 ,972 ,690 ,538 ,357 ,302 ,264 ,145 ,0 
Maria Pinto ,& O O O ,0 ,0 ,0 ,1 ,O ,2 ,2 ,18 ,25 ,38 ,37 ,42 ,26 ,28 ,47 ,32 ,29 ,21 ,12 ,6 ,2 ,0 
,,,,,,,,,,,,,,,,,,,,,,,
