Nunoa,&1127,55,44,48,48,68,73,153,372,541,760,663,656,553,379,307,201,183,83,90,98,50,0
Padre Hurtado ,& 0 1 0 ,5 ,10 ,5 ,13 ,10 ,16 ,61 ,99 ,172 ,251 ,232 ,282 ,235 ,188 ,174 ,122 ,107 ,49 ,67 ,38 ,12 ,0 
Paine ,& 0 1 O ,3 ,0 ,4 ,7 ,3 ,5 ,29 ,84 ,86 ,133 ,152 ,275 ,237 ,210 ,195 ,182 ,109 ,65 ,50 ,29 ,42 ,0 
Pedro Aguirre Cerda ,& 0 O 3 ,7 ,15 ,26 ,47 ,32 ,74 ,179 ,366 ,430 ,401 ,511 ,578 ,431 ,343 ,239 ,222 ,144 ,104 ,86 ,80 ,28 ,0 
Penaflor ,& 1 1 5 ,3 ,9 ,6 ,10 ,16 ,28 ,59 ,109 ,213 ,309 ,316 ,339 ,319 ,315 ,206 ,154 ,212 ,78 ,66 ,55 ,25 ,0 
Penalolen ,& 1 3 9 ,30 ,37 ,40 ,52 ,70 ,122 ,412 ,987 ,1336 ,1655 ,1599 ,1438 ,1111 ,845 ,579 ,450 ,322 ,202 ,201 ,166 ,73 ,0 
Pirque ,& O 1 3 ,1 ,3 ,1 ,5 ,5 ,16 ,39 ,60 ,82 ,160 ,153 ,116 ,115 ,83 ,76 ,75 ,37 ,20 ,16 ,26 ,18 ,0 
Providencia ,& 0 3 28 ,64 ,22 ,25 ,35 ,41 ,41 ,96 ,283 ,323 ,404 ,431 ,293 ,239 ,208 ,180 ,155 ,119 ,68 ,61 ,62 ,37 ,0 
Pudahuel ,& 1 1 2 ,19 ,28 ,37 ,43 ,48 ,141 ,365 ,678 ,1026 ,1300 ,1274 ,1322 ,867 ,745 ,506 ,372 ,327 ,260 ,185 ,150 ,62 ,0 
Puente Alto ,& 2 4 12 ,65 ,106 ,186 ,208 ,333 ,385 ,862 ,1588 ,2230 ,2593 ,2606 ,2833 ,2393 ,1897 ,1445 ,1042 ,715 ,530 ,354 ,436 ,238 ,2 
Quilicura ,& 0 3 3 ,21 ,30 ,45 ,47 ,143 ,334 ,553 ,827 ,964 ,901 ,1045 ,1109 ,897 ,659 ,411 ,330 ,239 ,172 ,155 ,126 ,75 ,0 
Quinta Normal ,& 1 2 6 ,14 ,27 ,40 ,50 ,53 ,99 ,267 ,466 ,592 ,715 ,773 ,676 ,546 ,419 ,328 ,254 ,245 ,108 ,127 ,156 ,87 ,0 
Recoleta ,& 0 O 7 ,14 ,17 ,41 ,46 ,117 ,284 ,745 ,1187 ,1143 ,999 ,878 ,783 ,585 ,511 ,305 ,250 ,179 ,99 ,121 ,86 ,68 ,0 
Renca ,& 0 O 5 ,7 ,11 ,8 ,36 ,68 ,110 ,297 ,631 ,747 ,852 ,797 ,865 ,808 ,894 ,612 ,493 ,415 ,305 ,283 ,203 ,73 ,0 
San Bernardo ,& 0 1 6 ,24 ,42 ,68 ,79 ,125 ,157 ,345 ,663 ,898 ,1077 ,1301 ,1415 ,1253 ,1074 ,832 ,585 ,417 ,253 ,228 ,190 ,84 ,0 
San Joaquin ,& 0 O 1 ,17 ,23 ,15 ,34 ,44 ,84 ,229 ,504 ,647 ,468 ,497 ,570 ,475 ,349 ,268 ,202 ,187 ,153 ,82 ,89 ,42 ,0 
San Jose de Maipo ,& 0 0 1 ,1 ,2 ,2 ,3 ,1 ,4 ,22 ,51 ,57 ,92 ,67 ,78 ,62 ,43 ,43 ,27 ,32 ,15 ,38 ,31 ,5 ,0 
San Miguel ,& 1 1 3 ,27 ,23 ,28 ,47 ,49 ,79 ,210 ,451 ,521 ,622 ,587 ,643 ,467 ,432 ,257 ,215 ,166 ,120 ,62 ,117 ,51 ,0 
San Pedro ,0 O 0 ,0 ,0 ,0 ,0 ,2 ,10 ,7 ,9 ,16 ,16 ,21 ,27 ,11 ,33 ,29 ,19 ,12 ,6 ,2 ,5 ,4 ,0 
San Ramon ,& 0 0 1 ,3 ,11 ,11 ,13 ,42 ,90 ,249 ,456 ,557 ,534 ,462 ,550 ,415 ,300 ,197 ,183 ,163 ,101 ,73 ,58 ,29 ,0 
Santiago ,& 1 3 30 ,100 ,107 ,150 ,169 ,176 ,393 ,951 ,1714 ,1718 ,1872 ,1624 ,1468 ,1195 ,986 ,630 ,502 ,418 ,239 ,185 ,143 ,87 ,0 
Talagante ,& 0 0 0 ,4 ,8 ,7 ,3 ,10 ,10 ,44 ,58 ,97 ,122 ,153 ,183 ,220 ,208 ,186 ,134 ,75 ,53 ,67 ,23 ,20 ,0 
Tiltil ,& 0 O O ,2 ,1 ,2 ,1 ,6 ,5 ,11 ,34 ,43 ,57 ,62 ,93 ,63 ,50 ,44 ,37 ,15 ,15 ,13 ,12 ,4 ,0 
Vitacura ,& O 6 32 ,50 ,29 ,14 ,7 ,5 ,13 ,55 ,162 ,216 ,185 ,153 ,138 ,100 ,96 ,81 ,52 ,32 ,30 ,24 ,33 ,18 ,0 
Desconocido ,& 0 0 6 ,10 ,19 ,55 ,177 ,363 ,579 ,722 ,1428 ,2247 ,2461 ,1710 ,1412 ,1391 ,1452 ,897 ,501 ,332 ,186 ,147 ,158 ,128 ,0 
Total ,15 70 352 ,1043 ,1146 ,1479 ,1929 ,2911 ,5362 ,12525 ,23537 ,30590 ,34137 ,33572 ,33779 ,27625 ,23028 ,16601 ,12562 ,9632 ,6453 ,5339 ,4851 ,2694 ,2 
