Peumo,&,14952,92,615.3,5,33.4,24,,160.5,24,160.5
Pichidegua ,,20743 ,242 ,1166.7 ,5 ,24.1 ,77 ,,371.2 ,77 ,371.2 
Pichilemu ,,17882 ,55 ,307.6 ,0 ,0.0 ,1 ,,5.6 ,1 ,5.6 
Placilla ,,9164 ,69 ,752.9 ,0 ,0.0 ,5 ,,54.6 ,5 ,54.6 
Pumanque ,,3531 ,4 ,113.3 ,1 ,28.3 ,O ,,0.0 ,0 ,0.0 
Quinta de Tilcoco ,& ,13877 ,127 ,915.2 ,4 ,28.8 ,16 ,,115.3 ,16 ,115.3 
Rancagua ,& ,265211 ,5932 ,2236.7 ,116 ,43.7 ,324 ,,122.2 ,323 ,121.8 
Rengo ,& ,63710 ,1103 ,1731.3 ,26 ,40.8 ,98 ,,153.8 ,98 ,153.8 
Requinoa ,& ,30371 ,422 ,1389.5 ,8 ,26.3 ,30 ,,98.8 ,30 ,98.8 
San Fernando ,& ,78642 ,555 ,705.7 ,9 ,11.4 ,97 ,,123.3 ,97 ,123.3 
San Vicente ,,50617 ,583 ,1151.8 ,12 ,23.7 ,116 ,,229.2 ,116 ,229.2 
Santa Cruz ,& ,41096 ,249 ,605.9 ,7 ,17.0 ,60 ,,146.0 ,60 ,146.0 
Desconocido ,& ,- ,87 ,- ,O ,- ,3 ,,- ,3 ,- 
Total ,,991063 ,13852 ,1397.7 ,279 ,28.2 ,1207 ,,121.8 ,1204 ,121.5 
