,SESESE,SESE,SESE,SESESESE,SE,SE,SESE,SE,SE,SE,SE,SE,SESE,SESESE
Comuna ,9 10 11 ,12 13 ,14 15 ,16 17 18 19 ,20 ,21 ,22 23 ,24 ,25 ,26 ,27 ,28 ,29 30 ,31 32 33 
Cauquenes ,& O O O ,O 2 ,3 1 ,9 2 1 5 ,13 ,14 ,53 54 ,44 ,50 ,44 ,28 ,43 ,19 13 ,6 1 O 
Chanco ,O O O ,O 1 ,O 0 ,1 1 O 1 ,O ,1 ,O 8 ,6 ,9 ,1 ,1 ,10 ,6 2 ,O O O 
Colbun ,O O O ,O 3 ,3 O ,O O 1 4 ,9 ,13 ,15 10 ,22 ,23 ,15 ,22 ,15 ,18 23 ,10 23 O 
Constitucion ,O O O ,O 3 ,3 5 ,7 4 1 2 ,3 ,5 ,6 20 ,24 ,45 ,52 ,37 ,39 ,55 47 ,17 13 O 
Curepto ,O O O ,O 0 ,2 2 ,4 O 1 1 ,2 ,O ,1 1 ,3 ,10 ,6 ,5 ,2 ,4 4 ,5 13 O 
Curico ,& O 1 2 ,3 6 ,3 12 ,9 10 11 19 ,44 ,148 ,192 278 ,261 ,236 ,219 ,165 ,157 ,135 147 ,90 34 O 
Empedrado ,O O O ,O O ,O O ,O O O O ,O ,O ,O 2 ,6 ,14 ,4 ,1 ,2 ,1 1 ,1 1 O 
Hualane ,& O O O ,O O ,O O ,1 O O O ,3 ,15 ,29 29 ,20 ,11 ,4 ,1 ,O ,2 O ,O O O 
Licanten ,& O O O ,O O ,1 O ,1 O O O ,O ,0 ,2 5 ,4 ,5 ,1 ,O ,3 ,O 1 ,2 1 O 
Linares ,& 1 O O ,2 5 ,5 4 ,6 3 4 13 ,17 ,18 ,30 42 ,82 ,91 ,78 ,84 ,84 ,64 73 ,72 46 O 
Longavi ,& O O O ,1 O ,1 1 ,1 O 2 5 ,12 ,11 ,23 28 ,53 ,33 ,26 ,28 ,25 ,6 12 ,10 20 O 
Maule ,& O O O ,1 1 ,2 6 ,12 3 O 3 ,14 ,13 ,28 31 ,36 ,49 ,37 ,53 ,46 ,60 50 ,23 22 O 
Molina ,& O O O ,1 2 ,O 1 ,3 O O 2 ,4 ,9 ,21 23 ,22 ,44 ,46 ,20 ,31 ,17 23 ,20 19 O 
Parral ,O O O ,1 3 ,2 2 ,2 O O 6 ,7 ,42 ,55 29 ,25 ,31 ,13 ,17 ,15 ,11 10 ,10 10 O 
Pelarco ,O O O ,O 0 ,O 3 ,2 O 2 4 ,5 ,4 ,5 6 ,4 ,3 ,3 ,3 ,14 ,23 33 ,16 3 O 
Pelluhue ,O O O ,1 O ,O 1 ,O O O 1 ,7 ,1 ,9 12 ,15 ,10 ,O ,3 ,1 ,2 5 ,4 O O 
Pencahue ,O O O ,O O ,O O ,3 O O O ,O ,8 ,4 2 ,7 ,3 ,5 ,11 ,8 ,3 2 ,1 O O 
Rauco ,& O O O ,O 1 ,1 O ,1 O O 1 ,1 ,7 ,7 8 ,15 ,3 ,10 ,8 ,17 ,17 9 ,5 3 O 
Retiro ,O O O ,O O ,O 1 ,O O 1 O ,1 ,17 ,42 14 ,18 ,12 ,12 ,12 ,2 ,2 8 ,12 8 O 
Rio Claro ,O O O ,2 O ,1 1 ,3 2 O 2 ,2 ,2 ,8 3 ,4 ,13 ,13 ,18 ,2 ,4 14 ,9 8 O 
Romeral ,O O O ,1 2 ,O O ,10 O O O ,6 ,13 ,20 23 ,35 ,58 ,34 ,13 ,7 ,16 16 ,17 5 O 
Sagrada Familia ,O O O ,O O ,1 O ,1 O 1 1 ,O ,3 ,7 17 ,8 ,10 ,10 ,11 ,9 ,7 5 ,10 6 O 
San Clemente ,& O 1 O ,O O ,1 2 ,6 1 7 7 ,13 ,18 ,21 39 ,43 ,57 ,87 ,77 ,59 ,47 24 ,26 27 O 
San Javier ,& O O O ,1 2 ,7 4 ,7 4 3 7 ,8 ,9 ,22 53 ,41 ,42 ,30 ,47 ,54 ,47 73 ,39 11 O 
San Rafael ,O O O ,O 1 ,O 1 ,1 O O 5 ,10 ,28 ,7 17 ,8 ,11 ,14 ,12 ,6 ,3 3 ,3 2 O 
Talca ,& O 3 9 ,13 19 ,11 15 ,73 18 13 21 ,51 ,74 ,83 170 ,207 ,267 ,248 ,226 ,140 ,120 104 ,123 104 0 
