Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,56058 ,528 ,941.9 ,10 ,17.8 ,40 ,71.4 ,40 ,71.4 
Carahue ,25486 ,120 ,470.8 ,0 ,0.0 ,16 ,62.8 ,16 ,62.8 
Cholchol ,12341 ,39 ,316.0 ,0 ,0.0 ,1 ,8.1 ,1 ,8.1 
Collipulli ,26148 ,109 ,416.9 ,3 ,11.5 ,38 ,145.3 ,38 ,145.3 
Cunco ,18055 ,92 ,509.6 ,2 ,11.1 ,5 ,27.7 ,5 ,27.7 
Curacautin ,18178 ,34 ,187.0 ,1 ,5.5 ,O ,0.0 ,0 ,0.0 
Curarrehue ,7802 ,4 ,51.3 ,1 ,12.8 ,0 ,0.0 ,0 ,0.0 
Ercilla ,8458 ,61 ,721.2 ,1 ,11.8 ,6 ,70.9 ,6 ,70.9 
Freire ,& 25446 ,125 ,491.2 ,1 ,3.9 ,2 ,7.9 ,2 ,7.9 
Galvarino ,12633 ,134 ,1060.7 ,0 ,0.0 ,1 ,7.9 ,1 ,7.9 
Gorbea ,15148 ,45 ,297.1 ,1 ,6.6 ,6 ,39.6 ,6 ,39.6 
Lautaro ,40746 ,174 ,427.0 ,3 ,7.4 ,9 ,22.1 ,9 ,22.1 
Loncoche ,24739 ,83 ,335.5 ,1 ,4.0 ,O ,0.0 ,O ,0.0 
Lonquimay ,11049 ,71 ,642.6 ,2 ,18.1 ,O ,0.0 ,0 ,0.0 
LOs Sauces ,7517 ,59 ,784.9 ,0 ,0.0 ,22 ,292.7 ,22 ,292.7 
Lumaco ,10050 ,42 ,417.9 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Melipeuco ,6265 ,13 ,207.5 ,O ,0.0 ,1 ,16.0 ,1 ,16.0 
Nueva Imperial ,33777 ,141 ,417.4 ,3 ,8.9 ,8 ,23.7 ,8 ,23.7 
Padre Las Casas ,& 82110 ,233 ,283.8 ,6 ,7.3 ,8 ,9.7 ,8 ,9.7 
Perquenco ,7223 ,44 ,609.2 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Pitrufquen ,26096 ,106 ,406.2 ,0 ,0.0 ,6 ,23.0 ,6 ,23.0 
