Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,& ,42458 ,112 ,263.8 ,2 ,4.7 ,2 ,4.7 ,2 ,4.7 
Calbuco ,& ,36744 ,246 ,669.5 ,4 ,10.9 ,50 ,136.1 ,50 ,136.1 
Castro ,,47607 ,30 ,63.0 ,O ,0.0 ,6 ,12.6 ,6 ,12.6 
Chaiten ,,5020 ,12 ,239.0 ,O ,0.0 ,1 ,19.9 ,1 ,19.9 
Chonchi ,,16013 ,1 ,6.2 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Cochamo ,,4006 ,20 ,499.3 ,0 ,0.0 ,2 ,49.9 ,2 ,49.9 
Curaco de Velez ,,4066 ,18 ,442.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Dalcahue ,,15069 ,8 ,53.1 ,1 ,6.6 ,1 ,6.6 ,1 ,6.6 
Fresia ,,12656 ,76 ,600.5 ,2 ,15.8 ,28 ,221.2 ,28 ,221.2 
Frutillar ,,20223 ,200 ,989.0 ,0 ,0.0 ,37 ,183.0 ,37 ,183.0 
Futaleufu ,,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Hualaihue ,,9525 ,20 ,210.0 ,1 ,10.5 ,O ,0.0 ,0 ,0.0 
Llanquihue ,& ,18621 ,164 ,880.7 ,1 ,5.4 ,44 ,236.3 ,44 ,236.3 
Los Muermos ,,17817 ,83 ,465.8 ,0 ,0.0 ,20 ,112.3 ,20 ,112.3 
Maullin ,,14894 ,107 ,718.4 ,0 ,0.0 ,34 ,228.3 ,34 ,228.3 
Osorno ,& ,173410 ,945 ,545.0 ,18 ,10.4 ,202 ,116.5 ,202 ,116.5 
Palena ,,1827 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Puerto Montt ,& ,269398 ,2507 ,930.6 ,17 ,6.3 ,528 ,196.0 ,527 ,195.6 
Puerto Octay ,,9192 ,43 ,467.8 ,O ,0.0 ,27 ,293.7 ,27 ,293.7 
Puerto Varas ,& ,48620 ,225 ,462.8 ,3 ,6.2 ,72 ,148.1 ,72 ,148.1 
Puqueldon ,,4201 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
