,,,,,,,,,,,,,,,,,
,,SE SE ,SE ,SE SE SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE ,SE SE ,SE ,SE SE 
,,11 12 ,13 ,14 15 16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 28 ,29 30 ,31 ,32 33 
18 ,0 0 ,0 0 ,0 ,0 1 0 ,0 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 0 ,2 3 ,3 ,9 0 
,,0 0 ,0 ,0 1 O ,1 5 ,94 ,29 ,25 ,25 ,31 ,26 ,20 ,22 ,16 20 ,33 35 ,14 ,16 O 
234 ,O O ,0 O ,0 ,0 O 1 ,5 0 ,1 ,1 ,0 ,0 ,5 ,10 ,41 ,30 ,31 25 ,24 21 ,27 ,12 O 
18 ,O 0 ,O O ,0 ,O O 0 ,0 0 ,0 ,0 ,0 ,0 ,0 ,O ,9 ,1 ,2 1 ,3 2 ,0 ,O 0 
,,O 1 ,0 ,3 1 1 ,1 O ,1 ,3 ,10 ,8 ,9 ,17 ,11 ,17 ,10 18 ,13 1 ,8 ,1 O 
,,0 2 ,3 ,3 1 1 ,0 0 ,11 ,8 ,6 ,37 ,27 ,37 ,58 ,46 ,52 26 ,23 17 ,14 ,26 0 
,,6 10 ,19 ,55 177 363 ,579 722 ,1428 ,2247 ,2461 ,1710 ,1412 ,1391 ,1452 ,897 ,501 332 ,186 147 ,158 ,128 0 
,,0 0 ,0 ,0 2 0 ,0 0 ,1 ,2 ,12 ,0 ,8 ,4 ,11 ,12 ,4 19 ,3 6 ,2 ,1 O 
41 ,O 0 ,0 1 ,0 ,O O O ,1 O ,0 ,1 ,0 ,2 ,3 ,7 ,10 ,5 ,O 2 ,3 5 ,0 ,1 O 
1 ,O 0 ,0 O ,0 ,0 0 O ,0 O ,0 ,0 ,0 ,0 ,0 ,O ,0 ,0 ,0 1 ,O O ,0 ,0 O 
,,0 1 ,O ,O 0 O ,0 O ,2 ,4 ,6 ,6 ,9 ,7 ,27 ,38 ,8 11 ,11 12 ,15 ,34 O 
1 ,0 0 ,0 0 ,1 ,0 0 O ,0 0 ,0 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,0 0 ,0 0 ,0 ,0 O 
7 ,O 0 ,1 0 ,0 ,0 1 1 ,O 0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0 0 ,0 0 ,0 ,1 0 
,,9 10 ,3 ,1 0 1 ,3 O ,1 ,1 ,2 ,3 ,1 ,1 ,3 ,3 ,4 12 ,4 3 ,3 ,7 O 
1 ,O 0 ,1 0 ,0 ,O 0 O ,O O ,0 ,0 ,O ,0 ,0 ,O ,0 ,0 ,0 O ,0 O ,0 ,O O 
,,0 1 ,0 ,1 42 14 ,4 2 ,1 ,0 ,0 ,0 ,O ,1 ,1 ,1 ,1 0 ,O 1 ,1 ,O O 
63 ,0 O ,0 1 ,9 ,1 1 1 ,1 3 ,13 ,0 ,6 ,3 ,21 ,0 ,0 ,0 ,0 0 ,O 0 ,O ,2 0 
,,17 27 ,35 ,64 227 383 ,595 732 ,1553 ,2296 ,2528 ,1795 ,1526 ,1502 ,1644 ,1072 ,629 467 ,305 253 ,245 ,238 0 
