Comuna,Proporcion,decasosinvestigadosantesde,nuevos48h,Proporcion,decontactosinvestigadosantesde,nuevos48h
,Casos Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Andacollo ,6 ,3 ,500 ,15 ,15 ,1000 
Canela ,3 ,2 ,667 ,5 ,5 ,1000 
Combarbala ,3 ,2 ,667 ,4 ,4 ,1000 
Coquimbo ,305 ,288 ,944 ,1.140 ,1.093 ,959 
Illapel ,28 ,26 ,929 ,190 ,185 ,974 
La Higuera ,12 ,12 ,1000 ,62 ,58 ,935 
La Serena ,296 ,274 ,926 ,1.062 ,1.033 ,973 
Los Vilos ,15 ,12 ,800 ,36 ,34 ,944 
Monte Patria ,17 ,12 ,706 ,24 ,23 ,958 
Ovalle ,108 ,85 ,787 ,279 ,278 ,996 
Paiguano ,1 ,1 ,1000 ,9 ,9 ,1000 
Punitaqui ,6 ,5 ,833 ,27 ,27 ,1000 
Rio Hurtado ,2 ,2 ,1000 ,15 ,15 ,1000 
Salamanca ,26 ,25 ,962 ,80 ,69 ,863 
Vicuna ,17 ,16 ,941 ,103 ,103 ,1000 
Total ,845 ,765 ,905 ,2.610 ,2.497 ,957 
