Comuna,IndicadoresdeProporcioninvestigados,Trazabilidaddecasosantesde,del1al7nuevos48h,deagosto.2020Proporcioninvestigados,(*)decontactosantesde,nuevos48h
,Casos Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Alhue ,18 ,17 ,960 ,18 ,17 ,960 
Buin ,60 ,44 ,730 ,80 ,80 ,1000 
Calera de Tango ,7 ,7 ,1000 ,21 ,20 ,960 
Cerrillos ,57 ,55 ,960 ,70 ,67 ,960 
Cerro Navia ,159 ,124 ,780 ,,NR ,
Colina ,48 ,47 ,970 ,50 ,49 ,970 
Conchali ,89 ,85 ,960 ,158 ,152 ,960 
Curacavi ,24 ,24 ,990 ,55 ,55 ,1000 
El Bosque ,99 ,99 ,1000 ,190 ,190 ,1000 
El Monte ,39 ,29 ,750 ,,NR ,
Estacion Central ,98 ,94 ,960 ,92 ,88 ,960 
Huechuraba ,86 ,66 ,770 ,194 ,149 ,770 
Independencia ,125 ,120 ,960 ,127 ,122 ,960 
Isla de Maipo ,82 ,52 ,640 ,,NR ,
La Cisterna ,57 ,55 ,960 ,78 ,75 ,960 
La Florida ,207 ,190 ,920 ,300 ,276 ,920 
La Granja ,70 ,69 ,990 ,169 ,167 ,990 
La Pintana ,240 ,233 ,970 ,312 ,303 ,970 
La Reina ,37 ,22 ,590 ,,NR ,
Lampa ,71 ,53 ,740 ,64 ,21 ,330 
Las Condes ,80 ,64 ,800 ,107 ,107 ,1000 
Lo Barnechea ,53 ,37 ,690 ,,NR ,
Lo Espejo ,89 ,80 ,900 ,133 ,120 ,900 
Lo Prado ,105 ,72 ,690 ,,NR ,
Macul ,75 ,58 ,770 ,,NR ,
Maipu ,261 ,256 ,980 ,396 ,388 ,980 
Maria Pinto ,7 ,7 ,1000 ,9 ,9 ,1000 
Melipilla ,56 ,42 ,750 ,,NR ,
Nunoa ,86 ,73 ,850 ,,NR ,
Padre Hurtado ,48 ,43 ,900 ,76 ,68 ,900 
Paine ,35 ,35 ,1000 ,115 ,115 ,1000 
Pedro Aguirre Cerda ,79 ,77 ,980 ,116 ,114 ,980 
Penaflor ,57 ,55 ,970 ,85 ,82 ,970 
Penalolen ,183 ,152 ,830 ,,NR ,
Pirque ,31 ,22 ,710 ,,NR ,
Providencia ,75 ,75 ,1000 ,112 ,112 ,1000 
Pudahuel ,173 ,135 ,780 ,,NR ,
Puente Alto ,445 ,378 ,850 ,,NR ,
Quilicura ,106 ,83 ,780 ,175 ,172 ,980 
Quinta Normal ,162 ,138 ,850 ,146 ,108 ,740 
Recoleta ,103 ,97 ,940 ,84 ,79 ,940 
Renca ,192 ,152 ,790 ,67 ,56 ,830 
San Bernardo ,175 ,158 ,900 ,287 ,281 ,980 
San Joaquin ,71 ,57 ,800 ,113 ,90 ,800 
San Jose de Maipo ,33 ,33 ,1000 ,10 ,10 ,1000 
San Miguel ,95 ,88 ,930 ,145 ,133 ,920 
San Pedro ,5 ,5 ,1000 ,26 ,26 ,1000 
San Ramon ,52 ,51 ,980 ,,NR ,
