Comuna,Proporcioninvestigados,decasosantesde,nuevos48h,Proporcioninvestigados,decontactosantesde,nuevos48h
,Cases Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Chepica ,5 ,5 ,1000 ,16 ,16 ,1000 
Chimbarongo ,12 ,12 ,1000 ,62 ,62 ,1000 
Codegua ,21 ,21 ,1000 ,15 ,15 ,1000 
Coinco ,12 ,12 ,1000 ,24 ,8 ,333 
Coltauco ,39 ,39 ,1000 ,240 ,240 ,1000 
Donihue ,26 ,25 ,962 ,94 ,87 ,926 
Graneros ,16 ,16 ,1000 ,46 ,46 ,1000 
La Estrella ,1 ,1 ,1000 ,2 ,2 ,1000 
Las Cabras ,24 ,24 ,1000 ,43 ,43 ,1000 
Litueche ,11 ,11 ,1000 ,19 ,19 ,1000 
Lolol ,6 ,6 ,1000 ,15 ,7 ,467 
Machali ,30 ,28 ,933 ,187 ,187 ,1000 
Malloa ,3 ,3 ,1000 ,23 ,23 ,1000 
Marchihue ,0 ,0 ,- ,0 ,O ,- 
Mostazal ,12 ,8 ,667 ,5 ,5 ,1000 
Nancagua ,7 ,7 ,1000 ,17 ,17 ,1000 
Navidad ,3 ,3 ,1000 ,35 ,35 ,1000 
Olivar ,15 ,15 ,1000 ,24 ,24 ,1000 
Palmilla ,11 ,11 ,1000 ,11 ,11 ,1000 
Paredones ,7 ,7 ,1000 ,22 ,22 ,1000 
Peralillo ,7 ,7 ,1000 ,5 ,5 ,1000 
Peumo ,17 ,15 ,882 ,77 ,77 ,1000 
Pichidegua ,52 ,26 ,500 ,88 ,88 ,1000 
Pichilemu ,0 ,0 ,- ,0 ,O ,- 
Placilla ,2 ,2 ,1000 ,8 ,8 ,1000 
Pumanque ,0 ,0 ,- ,0 ,0 ,- 
Quinta de Tilcoco ,15 ,15 ,1000 ,17 ,17 ,1000 
Rancagua ,173 ,150 ,867 ,421 ,418 ,993 
Rengo ,64 ,64 ,1000 ,192 ,187 ,974 
Requinoa ,26 ,23 ,885 ,71 ,71 ,1000 
San Fernando ,74 ,66 ,892 ,88 ,65 ,739 
San Vicente ,56 ,56 ,1000 ,236 ,236 ,1000 
Santa Cruz ,28 ,28 ,1000 ,205 ,205 ,1000 
