Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Cauquenes ,491 ,985 ,774 
Chanco ,639 ,1000 ,917 
Colbun ,740 ,997 ,965 
Constitucion ,746 ,867 ,895 
Curepto ,535 ,1000 ,942 
Curico ,620 ,900 ,855 
Empedrado ,793 ,879 ,1000 
Hualane ,922 ,980 ,960 
Licanten ,831 ,922 ,930 
Linares ,675 ,993 ,880 
Longavi ,664 ,995 ,897 
Maule ,708 ,994 ,899 
Molina ,515 ,893 ,822 
Parral ,488 ,990 ,932 
Pelarco ,879 ,1000 ,912 
Pelluhue ,721 ,985 ,868 
Pencahue ,459 ,1000 ,967 
Rauco ,815 ,954 ,913 
Retiro ,480 ,987 ,947 
RiO Claro ,679 ,967 ,895 
Romeral ,713 ,1000 ,936 
Sagrada Familia ,519 ,963 ,923 
San Clemente ,516 ,983 ,892 
San Javier ,534 ,982 ,863 
San Rafael ,448 ,925 ,903 
Talca ,505 ,976 ,881 
Teno ,621 ,812 ,883 
Vichuquen ,250 ,750 ,1000 
Villa Alegre ,622 ,983 ,888 
