Maule,26,23,885,75,75,1000
Molina ,27 ,23 ,852 ,82 ,82 ,1000 
Parral ,13 ,12 ,923 ,20 ,20 ,1000 
Pelarco ,12 ,12 ,1000 ,21 ,21 ,1000 
Pelluhue ,1 ,0 ,00 ,0 ,O ,- 
Pencahue ,1 ,1 ,1000 ,3 ,3 ,1000 
Rauco ,4 ,4 ,1000 ,6 ,6 ,1000 
Retiro ,9 ,8 ,889 ,34 ,34 ,1000 
Rio Claro ,10 ,10 ,1000 ,64 ,64 ,1000 
Romeral ,9 ,9 ,1000 ,28 ,28 ,1000 
Sagrada Familia ,9 ,8 ,889 ,39 ,39 ,1000 
San Clemente ,40 ,36 ,900 ,108 ,108 ,1000 
San Javier ,29 ,23 ,793 ,60 ,60 ,1000 
San Rafael ,3 ,3 ,1000 ,15 ,15 ,1000 
Talca ,155 ,140 ,903 ,495 ,493 ,996 
Teno ,36 ,33 ,917 ,76 ,76 ,1000 
Vichuquen ,0 ,- ,- ,0 ,0 ,- 
Villa Alegre ,7 ,7 ,1000 ,17 ,17 ,1000 
Yerbas Buenas ,9 ,9 ,1000 ,30 ,30 ,1000 
Total ,604 ,553 ,916 ,1.664 ,1.657 ,996 
