Comuna,Proporcion,decasosinvestigadosantesde,nuevos48h,Proporcion,decontactosinvestigadosantesde,nuevos48h
,Casos Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Bulnes ,66 ,66 ,1000 ,162 ,162 ,1000 
Chillan ,88 ,88 ,1000 ,211 ,211 ,1000 
Chillan Viejo ,17 ,17 ,1000 ,34 ,34 ,1000 
Cobquecura ,0 ,O ,- ,19 ,19 ,1000 
Coelemu ,5 ,5 ,1000 ,54 ,54 ,1000 
Coihueco ,9 ,9 ,1000 ,5 ,5 ,1000 
El Carmen ,1 ,1 ,1000 ,3 ,3 ,1000 
Ninhue ,1 ,1 ,1000 ,18 ,18 ,1000 
Niquen ,2 ,2 ,1000 ,32 ,32 ,1000 
Pemuco ,2 ,2 ,1000 ,4 ,4 ,1000 
Pinto ,2 ,2 ,1000 ,4 ,4 ,1000 
Portezuelo ,0 ,O ,,1 ,1 ,1000 
Quillon ,3 ,3 ,1000 ,16 ,16 ,1000 
Quirihue ,9 ,9 ,1000 ,2 ,2 ,1000 
Ranquil ,4 ,4 ,1000 ,7 ,7 ,1000 
San Carlos ,9 ,9 ,1000 ,40 ,40 ,1000 
San Fabian ,0 ,0 ,,1 ,1 ,1000 
San Ignacio ,4 ,4 ,1000 ,11 ,11 ,1000 
San Nicolas ,16 ,16 ,1000 ,31 ,31 ,1000 
Treguaco ,5 ,5 ,1000 ,6 ,6 ,1000 
Yungay ,2 ,2 ,1000 ,21 ,21 ,1000 
Total ,245 ,245 ,1000 ,682 ,682 ,1000 
