,SESESESESE,SESE,SESE,SESE,SESE,SE,SE,SE,SESE,SE,SE,SE,SESE,SE,SESE
Comuna ,9 10 11 12 13 ,14 15 ,16 17 ,18 19 ,20 21 ,22 ,23 ,24 ,25 26 ,27 ,28 ,29 ,30 31 ,32 ,33 34 
Andacollo ,O O O O O ,O O ,O O ,2 7 ,3 3 ,7 ,6 ,O ,5 7 ,4 ,3 ,3 ,2 5 ,5 ,O O 
Canela ,O O O O O ,O O ,O O ,1 O ,2 O ,2 ,2 ,O ,1 6 ,5 ,O ,4 ,3 2 ,9 ,O O 
Combarbala ,O O O O O ,O O ,O O ,2 3 ,4 3 ,5 ,3 ,2 ,7 O ,1 ,3 ,O ,1 4 ,1 ,0 O 
Coquimbo & ,O O 4 13 3 ,2 1 ,6 7 ,22 85 ,86 71 ,150 ,145 ,158 ,182 239 ,235 ,340 ,361 ,351 329 ,275 ,41 O 
Illapel ,0 0 O O 4 ,7 7 ,1 O ,1 O ,1 5 ,21 ,14 ,18 ,20 41 ,43 ,63 ,9 ,23 51 ,12 ,1 O 
La Higuera ,O O O O O ,O O ,O O ,O O ,O O ,1 ,2 ,O ,O O ,6 ,9 ,27 ,9 17 ,18 ,2 O 
La Serena & ,O 1 O 3 7 ,4 3 ,3 5 ,16 52 ,49 76 ,114 ,116 ,136 ,197 185 ,227 ,269 ,272 ,335 330 ,248 ,21 O 
Los Vilos ,O O O 1 O ,O O ,0 O ,O 1 ,O 3 ,5 ,6 ,7 ,12 26 ,11 ,12 ,17 ,21 18 ,20 ,2 O 
Monte & Patria ,O O O O O ,O O ,O O ,1 6 ,19 25 ,27 ,24 ,45 ,22 30 ,24 ,14 ,14 ,10 22 ,19 ,5 O 
Ovalle & ,O O 4 2 4 ,2 O ,5 1 ,14 33 ,49 58 ,114 ,171 ,181 ,151 136 ,91 ,81 ,55 ,85 97 ,112 ,20 O 
Paiguano ,O O O O O ,O O ,O O ,O O ,O 2 ,2 ,1 ,2 ,O O ,O ,2 ,O ,2 1 ,O ,O O 
Punitaqui ,O O O O O ,O O ,1 1 ,3 6 ,O 4 ,16 ,2 ,7 ,5 7 ,4 ,13 ,15 ,5 4 ,12 ,1 O 
Rio Hurtado ,O O O 1 O ,O O ,O O ,1 O ,1 2 ,5 ,6 ,1 ,O O ,5 ,1 ,3 ,3 2 ,5 ,O O 
Salamanca ,O 1 O 1 2 ,1 2 ,1 O ,3 2 ,2 5 ,15 ,14 ,3 ,6 4 ,7 ,11 ,18 ,38 20 ,4 ,O O 
Vicuna ,O O O O O ,O 1 ,O 1 ,3 5 ,3 5 ,4 ,7 ,2 ,1 8 ,11 ,33 ,33 ,16 14 ,10 ,0 O 
Desconocido & ,0 O O 1 O ,3 1 ,1 1 ,O 1 ,3 10 ,8 ,9 ,17 ,11 16 ,10 ,18 ,12 ,1 8 ,7 ,2 O 
Total ,0 2 8 22 20 ,19 15 ,18 16 ,69 201 ,222 272 ,496 ,528 ,579 ,620 705 ,684 ,872 ,843 ,905 924 ,757 ,95 0 
