Quilpue,&0134,9,6,46,12,1946,78,79,111,157,156,224,180,199,143,112,90,83,118,17O
Quintero ,& O O O 2 ,1 ,1 ,0 6 ,2 ,3 24 ,23 ,29 ,44 ,52 ,40 ,45 ,40 ,24 ,36 ,35 ,23 ,11 ,7 ,1 O 
Rinconada ,0 O O O ,O ,3 ,O O ,O ,O 2 ,15 ,18 ,15 ,19 ,20 ,20 ,15 ,14 ,13 ,11 ,8 ,0 ,0 ,O 0 
San Antonio ,& O O O O ,6 ,14 11 ,22 ,37 ,71 61 ,101 ,94 ,137 ,145 ,120 ,92 ,92 ,82 ,61 ,75 ,57 ,55 ,37 ,20 O 
San Esteban ,& O O O O ,O ,O ,O 1 ,2 ,2 7 ,4 ,11 ,16 ,28 ,18 ,18 ,28 ,26 ,27 ,17 ,11 ,11 ,5 ,1 O 
San Felipe ,& 0 O O 3 ,3 ,2 ,O 1 ,2 ,6 19 ,60 ,70 ,117 ,182 ,175 ,108 ,135 ,85 ,60 ,40 ,21 ,74 ,89 ,19 O 
Santa Maria ,& O O O O ,1 ,1 ,O O ,4 ,15 3 ,5 ,8 ,13 ,18 ,30 ,32 ,23 ,29 ,18 ,17 ,10 ,22 ,5 ,1 O 
Santo Domingo ,O O 2 1 ,1 ,5 ,4 4 ,4 ,5 4 ,11 ,7 ,9 ,32 ,21 ,10 ,10 ,7 ,5 ,2 ,1 ,2 ,0 ,0 O 
Valparaiso ,& 0 1 2 11 ,14 ,13 ,21 17 ,26 ,84 118 ,151 ,235 ,314 ,493 ,545 ,502 ,376 ,320 ,338 ,320 ,302 ,311 ,267 ,68 O 
Villa Alemana ,& O O 1 7 ,4 ,3 ,O 1 ,5 ,31 41 ,51 ,74 ,124 ,190 ,185 ,211 ,139 ,171 ,128 ,97 ,97 ,102 ,93 ,25 O 
Vina del Mar ,& 1 O 5 23 ,28 ,23 ,13 21 ,25 ,80 142 ,200 ,236 ,305 ,406 ,394 ,452 ,421 ,367 ,276 ,271 ,222 ,251 ,270 ,46 O 
Zapallar ,& O O O O ,O ,1 ,0 O ,O ,O O ,1 ,O ,1 ,2 ,3 ,19 ,13 ,12 ,11 ,10 ,4 ,6 ,8 ,3 O 
Desconocido ,& 0 0 0 2 ,3 ,3 ,1 1 ,O ,O 11 ,8 ,6 ,37 ,27 ,37 ,57 ,46 ,51 ,25 ,23 ,15 ,12 ,12 ,5 0 
Total ,1 4 14 82 ,108 ,106 ,92 108 ,159 ,385 645 ,1023 ,1270 ,1775 ,2657 ,2639 ,2721 ,2502 ,2336 ,1933 ,1744 ,1557 ,1570 ,1563 ,305 0 
