SanVicente,50617,642,1268.3,,12,,23.7,136,,268.7,136,,268.7
Santa Cruz ,& 41096 ,275 ,669.2 ,,7 ,,17.0 ,48 ,,116.8 ,48 ,,116.8 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Chimbarongo ,0 0 0 2 ,1 O O 0 ,1 1 ,5 ,13 9 ,7 ,12 18 ,19 ,29 ,22 16 ,16 14 ,16 ,9 0 O 
,,,,,,,,,,,,,
Coinco ,0 O O O ,O O O O ,1 O ,4 ,11 8 ,3 ,5 7 ,20 ,9 ,15 12 ,11 4 ,11 ,8 5 O 
,,,,,,,,,,,,,
Donihue ,0 0 O O ,1 0 O 1 ,1 5 ,12 ,16 14 ,11 ,20 32 ,68 ,59 ,56 44 ,35 21 ,25 ,16 5 0 
Graneros ,& O 0 O 1 ,O O O O ,3 7 ,14 ,21 24 ,25 ,33 51 ,65 ,67 ,59 47 ,32 10 ,17 ,37 12 0 
La Estrella ,0 O O 0 ,O O O O ,O O ,0 ,O O ,1 ,4 6 ,2 ,12 ,6 O ,3 1 ,1 ,O O 0 
Las Cabras ,0 O O O ,O O 1 2 ,4 3 ,2 ,4 3 ,5 ,9 17 ,29 ,42 ,28 29 ,16 14 ,28 ,32 6 O 
Litueche ,0 0 O 0 ,O 0 0 1 ,5 2 ,2 ,3 0 ,1 ,6 15 ,21 ,8 ,6 3 ,2 6 ,4 ,5 4 O 
Lolol ,0 O O 0 ,O O 0 0 ,0 O ,1 ,2 1 ,11 ,5 7 ,5 ,13 ,1 O ,0 O ,6 ,6 1 O 
