Machali,O,014,1O4,O559,18,24,3656,105,225,196,120,62,5434,36,21,8O
Malloa ,& O ,O O O ,O O O ,O O O 1 ,3 ,3 ,4 6 ,11 ,15 ,17 ,10 ,15 ,23 18 ,12 ,4 ,2 O 
Marchihue ,O ,O O O ,O O O ,O O O O ,O ,2 ,3 O ,5 ,3 ,1 ,4 ,2 ,5 2 ,2 ,1 ,O O 
Mostazal ,& 0 ,O O O ,O O O ,O O 3 4 ,6 ,15 ,21 28 ,23 ,25 ,40 ,31 ,18 ,15 15 ,16 ,9 ,6 O 
Nancagua ,& O ,O O O ,O O O ,O O 1 1 ,11 ,5 ,9 7 ,12 ,8 ,7 ,13 ,10 ,5 3 ,4 ,15 ,O O 
Navidad ,O ,O O O ,O O O ,O 3 O 6 ,2 ,6 ,1 11 ,12 ,9 ,8 ,9 ,3 ,3 1 ,2 ,O ,O O 
Olivar ,& O ,O O O ,1 2 3 ,1 0 O 7 ,4 ,13 ,5 13 ,16 ,28 ,34 ,37 ,18 ,9 15 ,12 ,14 ,2 O 
Palmilla ,O ,O O O ,O O O ,O 1 O O ,2 ,3 ,1 5 ,7 ,4 ,3 ,2 ,8 ,3 3 ,15 ,4 ,5 O 
Paredones ,O ,O O O ,O O O ,O O O O ,2 ,2 ,1 3 ,3 ,1 ,O ,3 ,1 ,4 2 ,7 ,1 ,1 O 
Peralillo ,O ,O O O ,O O O ,O O O O ,2 ,7 ,7 12 ,11 ,1 ,5 ,4 ,2 ,2 3 ,5 ,2 ,O O 
Peumo ,O ,O O 0 ,1 O O ,O O 2 3 ,2 ,2 ,2 1 ,2 ,5 ,6 ,2 ,14 ,20 5 ,18 ,15 ,O O 
Pichidegua ,0 ,O O O ,O O O ,O O 1 3 ,8 ,3 ,3 7 ,9 ,15 ,25 ,30 ,21 ,16 22 ,53 ,45 ,9 O 
Pichilemu ,0 ,0 O O ,O O O ,O O 2 2 ,4 ,7 ,4 2 ,6 ,6 ,4 ,O ,12 ,4 1 ,O ,1 ,O O 
Placilla ,O ,O O O ,1 O O ,O O O 1 ,4 ,3 ,6 10 ,3 ,2 ,7 ,11 ,7 ,6 3 ,O ,8 ,O O 
Pumanque ,O ,O O O ,O O O ,O O O O ,0 ,O ,2 O ,1 ,1 ,O ,O ,0 ,O 0 ,O ,1 ,O O 
Quinta de Tilcoco ,O ,O O 1 ,O O O ,O O O O ,1 ,1 ,4 2 ,10 ,16 ,20 ,15 ,12 ,16 12 ,14 ,4 ,O O 
Rancagua ,& O ,O O 9 ,4 7 3 ,9 13 27 89 ,177 ,226 ,283 428 ,658 ,1100 ,931 ,695 ,495 ,282 163 ,201 ,218 ,52 O 
Rengo ,& O ,O O 1 ,3 O O ,4 5 3 8 ,19 ,29 ,27 48 ,71 ,122 ,142 ,136 ,186 ,120 81 ,71 ,82 ,12 O 
Requinoa ,O ,O O 2 ,O O O ,O 2 1 4 ,5 ,13 ,21 16 ,41 ,78 ,60 ,54 ,45 ,24 21 ,27 ,12 ,5 O 
San Fernando ,& 0 ,0 O 2 ,1 1 O ,2 0 2 8 ,9 ,23 ,16 22 ,27 ,55 ,60 ,51 ,60 ,57 55 ,67 ,62 ,18 O 
San Vicente ,O ,0 O 0 ,3 1 O ,O 3 3 16 ,27 ,17 ,14 24 ,37 ,58 ,52 ,51 ,55 ,56 47 ,70 ,96 ,12 O 
Santa Cruz ,& O ,0 O 0 ,1 O O ,1 1 O 5 ,4 ,10 ,7 18 ,21 ,15 ,20 ,22 ,24 ,13 21 ,48 ,33 ,11 O 
Desconocido ,& 0 ,0 O 0 ,O O 2 ,O 0 O 1 ,2 ,12 ,O 8 ,4 ,11 ,12 ,4 ,18 ,3 6 ,2 ,1 ,O O 
Total ,1 ,0 1 23 ,18 11 13 ,21 48 68 225 ,400 ,505 ,559 844 ,1296 ,2091 ,1965 ,1554 ,1318 ,932 685 ,829 ,808 ,188 0 
