Pelarco,0OOO,O0,32O24,5,4,56,4,3,3,3,1423,33,16,4OO
Pelluhue ,0 O O 1 ,O O ,1 O O O 1 ,7 ,1 ,9 12 ,15 ,10 ,O ,3 ,1 2 ,5 ,3 ,3 1 O 
Pencahue ,0 O O O ,O 0 ,O 3 O O O ,O ,8 ,4 2 ,7 ,3 ,5 ,11 ,8 3 ,2 ,1 ,0 O O 
Rauco ,O 0 O O ,1 1 ,O 1 O O 1 ,1 ,7 ,7 8 ,15 ,3 ,10 ,8 ,17 17 ,9 ,5 ,4 2 O 
Retiro ,0 0 O O ,O 0 ,1 O O 1 O ,1 ,17 ,42 14 ,18 ,12 ,12 ,12 ,2 2 ,8 ,12 ,10 O O 
Rio Claro ,0 O O 2 ,O 1 ,1 3 2 O 2 ,2 ,2 ,8 3 ,4 ,13 ,13 ,18 ,2 4 ,14 ,9 ,12 O O 
Romeral & ,O O O 1 ,2 O ,O 10 0 O O ,6 ,13 ,20 24 ,35 ,58 ,34 ,13 ,7 16 ,16 ,21 ,12 1 O 
Sagrada Familia ,O O O O ,O 1 ,O 1 O 1 1 ,O ,3 ,7 17 ,8 ,10 ,10 ,11 ,9 7 ,5 ,10 ,12 O O 
San Clemente ,O 1 O O ,O 1 ,2 6 1 7 7 ,13 ,18 ,21 39 ,43 ,57 ,87 ,77 ,59 47 ,24 ,26 ,47 1 O 
San Javier ,0 0 O 1 ,2 7 ,4 7 4 3 7 ,8 ,9 ,22 53 ,41 ,42 ,30 ,47 ,54 47 ,73 ,38 ,22 1 O 
San Rafael ,O O O O ,1 O ,1 1 O O 5 ,10 ,28 ,7 17 ,8 ,11 ,14 ,12 ,6 3 ,3 ,3 ,11 1 O 
Talca ,O 3 9 13 ,19 11 ,15 73 18 13 21 ,51 ,74 ,83 170 ,207 ,267 ,248 ,226 ,140 120 ,104 ,128 ,153 19 O 
Teno & ,0 O O 1 ,O 0 ,1 1 1 3 3 ,3 ,4 ,7 11 ,32 ,30 ,30 ,34 ,24 29 ,40 ,27 ,24 6 O 
Vichuquen ,0 0 O O ,O 0 ,O 0 0 O 0 ,O ,0 ,0 O ,0 ,O ,O ,1 ,1 4 ,O ,O ,0 O O 
Villa Alegre & ,O O O O ,O O ,1 1 O O 1 ,2 ,O ,9 18 ,9 ,11 ,15 ,23 ,12 29 ,11 ,5 ,5 O O 
Yerbas Buenas & ,O O O O ,O 0 ,1 O 2 O 4 ,9 ,12 ,21 13 ,15 ,10 ,7 ,2 ,7 13 ,5 ,16 ,15 3 O 
Desconocido & ,0 O O 1 ,0 0 ,O 0 1 O O ,1 ,O ,2 3 ,7 ,10 ,5 ,O ,2 3 ,5 ,O ,1 1 O 
Total ,1 5 11 29 ,51 48 ,65 165 52 51 117 ,247 ,489 ,729 970 ,1076 ,1201 ,1068 ,963 ,837 767 ,764 ,595 ,657 89 0 
