,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,4042 ,1.9 ,666.4 ,3702 ,1.9 ,634.1 ,7744 ,1.9 ,650.5 
05 09 anos ,3320 ,1.6 ,508.5 ,3165 ,1.6 ,502.8 ,6485 ,1.6 ,505.7 
10 14 anos ,3779 ,1.8 ,586.9 ,3901 ,2.0 ,627.8 ,7680 ,1.9 ,607.0 
15 19 anos ,6396 ,3.0 ,998.4 ,7316 ,3.7 ,1181.1 ,13712 ,3.4 ,1088.2 
20 24 anos ,16431 ,7.8 ,2241.6 ,16405 ,8.3 ,2310.0 ,32836 ,8.0 ,2275.3 
25 29 anos ,25831 ,12.3 ,3084.8 ,25340 ,12.7 ,3121.5 ,51171 ,12.5 ,3102.9 
30 34 anos ,26389 ,12.5 ,3257.0 ,23660 ,11.9 ,3010.2 ,50049 ,12.2 ,3135.5 
35 39 anos ,21690 ,10.3 ,2990.3 ,18873 ,9.5 ,2658.6 ,40563 ,9.9 ,2826.2 
40 44 anos ,18286 ,8.7 ,2707.9 ,16024 ,8.1 ,2385.5 ,34310 ,8.4 ,2547.1 
45 49 anos ,17929 ,8.5 ,2840.7 ,16709 ,8.4 ,2609.3 ,34638 ,8.5 ,2724.2 
50 54 anos ,17037 ,8.1 ,2834.6 ,15897 ,8.0 ,2550.1 ,32934 ,8.1 ,2689.8 
55 59 anos ,16016 ,7.6 ,2886.5 ,14460 ,7.3 ,2448.3 ,30476 ,7.5 ,2660.6 
60 64 anos ,11975 ,5.7 ,2542.3 ,10299 ,5.2 ,1986.8 ,22274 ,5.4 ,2251.3 
65 69 anos ,7599 ,3.6 ,2005.4 ,6828 ,3.4 ,1567.2 ,14427 ,3.5 ,1771.0 
70 74 anos ,5410 ,2.6 ,2048.7 ,5176 ,2.6 ,1621.0 ,10586 ,2.6 ,1814.6 
75 79 anos ,3686 ,1.8 ,2089.6 ,3984 ,2.0 ,1678.3 ,7670 ,1.9 ,1853.6 
80 y mas anos ,4458 ,2.1 ,2268.5 ,7015 ,3.5 ,2002.5 ,11473 ,2.8 ,2098.1 
Total ,210274 ,100.0 ,2190.6 ,198754 ,100.0 ,2015.9 ,409028 ,100.0 ,2102.1 
